[2025-09-21 17:05] Env=LunarLander-v2
Ep, Timestep, Update, Avg_return
2209: 665600, 416, 243.278, 
2213: 666400, 416, 242.295, 
2216: 667200, 417, 246.258, 
2219: 668000, 417, 259.644, 
2222: 668800, 418, 237.813, 
2225: 669600, 418, 235.562, 
2229: 670400, 419, 231.205, 
2232: 671200, 419, 245.114, 
2234: 672000, 420, 250.212, 
2237: 672800, 420, 249.789, 
2240: 673600, 421, 221.169, 
2243: 674400, 421, 219.108, 
2246: 675200, 422, 228.024, 
2249: 676000, 422, 239.024, 
2251: 676800, 423, 247.774, 
2254: 677600, 423, 246.489, 
2257: 678400, 424, 233.844, 
2259: 679200, 424, 218.704, 
2262: 680000, 425, 222.482, 
2266: 680800, 425, 226.190, 
2269: 681600, 426, 250.925, 
2272: 682400, 426, 258.544, 
2275: 683200, 427, 249.034, 
2277: 684000, 427, 246.794, 
2280: 684800, 428, 238.825, 
2282: 685600, 428, 235.173, 
2285: 686400, 429, 245.718, 
2288: 687200, 429, 244.763, 
2291: 688000, 430, 258.884, 
2294: 688800, 430, 258.376, 
2297: 689600, 431, 244.985, 
2300: 690400, 431, 248.187, 
2303: 691200, 432, 251.254, 
2305: 692000, 432, 237.803, 
2308: 692800, 433, 254.795, 
2311: 693600, 433, 218.010, 
2314: 694400, 434, 231.767, 
2318: 695200, 434, 227.755, 
2321: 696000, 435, 264.680, 
2323: 696800, 435, 252.364, 
2326: 697600, 436, 257.403, 
2329: 698400, 436, 249.663, 
2332: 699200, 437, 252.227, 
2336: 700000, 437, 261.154, 
2339: 700800, 438, 270.954, 
2342: 701600, 438, 267.255, 
2345: 702400, 439, 263.295, 
2349: 703200, 439, 234.640, 
2352: 704000, 440, 207.560, 
2355: 704800, 440, 191.940, 
2359: 705600, 441, 212.579, 
2361: 706400, 441, 232.954, 
2364: 707200, 442, 247.949, 
2368: 708000, 442, 228.484, 
2370: 708800, 443, 228.892, 
2373: 709600, 443, 212.648, 
2375: 710400, 444, 200.149, 
2377: 711200, 444, 216.940, 
2380: 712000, 445, 205.821, 
2383: 712800, 445, 214.823, 
2387: 713600, 446, 228.006, 
2390: 714400, 446, 239.492, 
2393: 715200, 447, 235.389, 
2395: 716000, 447, 215.081, 
2398: 716800, 448, 219.433, 
2402: 717600, 448, 243.092, 
2405: 718400, 449, 269.213, 
2408: 719200, 449, 256.976, 
2411: 720000, 450, 238.807, 
2413: 720800, 450, 237.199, 
2415: 721600, 451, 227.107, 
2418: 722400, 451, 189.339, 
2422: 723200, 452, 205.252, 
2425: 724000, 452, 219.037, 
2427: 724800, 453, 220.563, 
2429: 725600, 453, 218.843, 
2432: 726400, 454, 215.916, 
2435: 727200, 454, 193.526, 
2439: 728000, 455, 234.929, 
2441: 728800, 455, 216.831, 
2444: 729600, 456, 205.584, 
2447: 730400, 456, 224.643, 
2450: 731200, 457, 231.998, 
2452: 732000, 457, 235.418, 
2455: 732800, 458, 196.484, 
2457: 733600, 458, 186.345, 
2460: 734400, 459, 178.044, 
2463: 735200, 459, 209.142, 
2466: 736000, 460, 251.277, 
2468: 736800, 460, 246.482, 
2472: 737600, 461, 224.778, 
2475: 738400, 461, 211.025, 
2477: 739200, 462, 206.798, 
2481: 740000, 462, 195.013, 
2483: 740800, 463, 197.563, 
2486: 741600, 463, 213.816, 
2490: 742400, 464, 272.486, 
2493: 743200, 464, 259.581, 
2496: 744000, 465, 255.234, 
2499: 744800, 465, 249.848, 
2502: 745600, 466, 243.829, 
2505: 746400, 466, 242.937, 
2507: 747200, 467, 241.889, 
2510: 748000, 467, 241.387, 
2513: 748800, 468, 237.109, 
2516: 749600, 468, 255.044, 
2520: 750400, 469, 236.415, 
2523: 751200, 469, 240.890, 
2526: 752000, 470, 240.390, 
2529: 752800, 470, 264.259, 
2532: 753600, 471, 244.791, 
2535: 754400, 471, 246.396, 
2538: 755200, 472, 222.519, 
2541: 756000, 472, 243.496, 
2544: 756800, 473, 231.995, 
2546: 757600, 473, 235.821, 
2549: 758400, 474, 237.402, 
2551: 759200, 474, 223.255, 
2554: 760000, 475, 212.379, 
2557: 760800, 475, 211.440, 
2559: 761600, 476, 215.444, 
2562: 762400, 476, 208.860, 
2565: 763200, 477, 222.041, 
2568: 764000, 477, 238.324, 
2572: 764800, 478, 260.671, 
2575: 765600, 478, 264.967, 
2578: 766400, 479, 261.428, 
2581: 767200, 479, 253.192, 
2584: 768000, 480, 255.623, 
2588: 768800, 480, 256.471, 
2590: 769600, 481, 248.137, 
2594: 770400, 481, 224.686, 
2597: 771200, 482, 194.588, 
2600: 772000, 482, 178.469, 
2602: 772800, 483, 177.276, 
2605: 773600, 483, 196.942, 
2608: 774400, 484, 226.729, 
2611: 775200, 484, 243.392, 
2614: 776000, 485, 235.242, 
2617: 776800, 485, 236.140, 
2619: 777600, 486, 229.259, 
2622: 778400, 486, 231.998, 
2625: 779200, 487, 238.026, 
2629: 780000, 487, 254.850, 
2631: 780800, 488, 252.334, 
2634: 781600, 488, 229.241, 
2637: 782400, 489, 220.193, 
2639: 783200, 489, 211.755, 
2643: 784000, 490, 203.398, 
2646: 784800, 490, 186.767, 
2649: 785600, 491, 191.700, 
2651: 786400, 491, 191.598, 
2654: 787200, 492, 223.398, 
2657: 788000, 492, 216.044, 
2659: 788800, 493, 204.382, 
2663: 789600, 493, 180.402, 
2665: 790400, 494, 175.167, 
2668: 791200, 494, 205.143, 
2671: 792000, 495, 225.026, 
2673: 792800, 495, 212.332, 
2676: 793600, 496, 218.620, 
2680: 794400, 496, 237.216, 
2683: 795200, 497, 254.677, 
2686: 796000, 497, 233.294, 
2690: 796800, 498, 241.938, 
2693: 797600, 498, 238.755, 
2695: 798400, 499, 254.656, 
2699: 799200, 499, 237.471, 
2701: 800000, 500, 238.746, 

Training time = 0:35:43
