[2025-09-21 17:05] Env=LunarLander-v2
Ep, Timestep, Update, Avg_return
557: 158400, 99, 68.101, 
559: 159200, 99, 42.916, 
561: 160000, 100, 34.359, 
563: 160800, 100, 42.122, 
566: 161600, 101, 159.387, 
568: 162400, 101, 150.550, 
570: 163200, 102, 161.107, 
572: 164000, 102, 170.516, 
574: 164800, 103, 162.157, 
576: 165600, 103, 140.507, 
578: 166400, 104, 143.041, 
581: 167200, 104, 158.454, 
583: 168000, 105, 159.282, 
585: 168800, 105, 157.578, 
587: 169600, 106, 163.669, 
589: 170400, 106, 160.419, 
591: 171200, 107, 147.202, 
593: 172000, 107, 148.339, 
595: 172800, 108, 159.720, 
598: 173600, 108, 144.465, 
600: 174400, 109, 146.456, 
602: 175200, 109, 137.222, 
604: 176000, 110, 123.945, 
606: 176800, 110, 116.921, 
609: 177600, 111, 149.261, 
611: 178400, 111, 155.796, 
613: 179200, 112, 165.089, 
615: 180000, 112, 173.306, 
617: 180800, 113, 166.423, 
619: 181600, 113, 144.748, 
622: 182400, 114, 151.274, 
624: 183200, 114, 145.873, 
626: 184000, 115, 155.909, 
628: 184800, 115, 172.844, 
630: 185600, 116, 180.344, 
632: 186400, 116, 176.256, 
634: 187200, 117, 170.928, 
637: 188000, 117, 159.871, 
639: 188800, 118, 143.430, 
641: 189600, 118, 137.544, 
643: 190400, 119, 136.345, 
645: 191200, 119, 133.419, 
647: 192000, 120, 156.763, 
649: 192800, 120, 156.177, 
651: 193600, 121, 169.638, 
654: 194400, 121, 174.766, 
656: 195200, 122, 169.932, 
658: 196000, 122, 162.394, 
660: 196800, 123, 143.855, 
662: 197600, 123, 158.803, 
664: 198400, 124, 149.981, 
666: 199200, 124, 171.463, 
668: 200000, 125, 181.374, 
670: 200800, 125, 182.496, 
673: 201600, 126, 189.028, 
675: 202400, 126, 180.170, 
677: 203200, 127, 159.436, 
679: 204000, 127, 163.597, 
682: 204800, 128, 133.508, 
684: 205600, 128, 134.222, 
686: 206400, 129, 136.306, 
688: 207200, 129, 138.946, 
690: 208000, 130, 137.857, 
692: 208800, 130, 153.183, 
694: 209600, 131, 147.518, 
697: 210400, 131, 139.016, 
699: 211200, 132, 149.900, 
701: 212000, 132, 129.643, 
703: 212800, 133, 130.145, 
705: 213600, 133, 129.983, 
707: 214400, 134, 115.496, 
709: 215200, 134, 102.300, 
712: 216000, 135, 129.359, 
715: 216800, 135, 9.060, 
717: 217600, 136, 45.680, 
719: 218400, 136, 49.971, 
721: 219200, 137, 47.598, 
723: 220000, 137, 35.245, 
726: 220800, 138, 136.051, 
728: 221600, 138, 141.087, 
730: 222400, 139, 148.513, 
732: 223200, 139, 157.835, 
734: 224000, 140, 163.411, 
736: 224800, 140, 166.032, 
738: 225600, 141, 168.523, 
741: 226400, 141, 158.081, 
743: 227200, 142, 151.116, 
745: 228000, 142, 155.187, 
747: 228800, 143, 153.757, 
749: 229600, 143, 151.772, 
751: 230400, 144, 165.156, 
753: 231200, 144, 173.908, 
755: 232000, 145, 177.729, 
757: 232800, 145, 181.489, 
759: 233600, 146, 182.994, 
762: 234400, 146, 167.503, 
764: 235200, 147, 161.621, 
766: 236000, 147, 168.450, 
768: 236800, 148, 167.548, 
770: 237600, 148, 187.802, 
773: 238400, 149, 164.919, 
775: 239200, 149, 173.124, 
777: 240000, 150, 163.237, 
779: 240800, 150, 156.080, 
782: 241600, 151, 140.893, 
784: 242400, 151, 159.117, 
786: 243200, 152, 145.784, 
788: 244000, 152, 146.901, 
790: 244800, 153, 147.815, 
792: 245600, 153, 153.129, 
794: 246400, 154, 150.809, 
796: 247200, 154, 145.693, 
799: 248000, 155, 158.332, 
801: 248800, 155, 177.728, 
804: 249600, 156, 206.331, 
806: 250400, 156, 222.374, 
809: 251200, 157, 236.161, 
811: 252000, 157, 234.320, 
814: 252800, 158, 242.983, 
817: 253600, 158, 252.021, 
819: 254400, 159, 249.881, 
822: 255200, 159, 225.049, 
824: 256000, 160, 207.306, 
827: 256800, 160, 209.984, 
829: 257600, 161, 197.128, 
832: 258400, 161, 212.933, 
835: 259200, 162, 226.890, 
838: 260000, 162, 213.243, 
841: 260800, 163, 235.991, 
843: 261600, 163, 236.966, 
845: 262400, 164, 213.603, 
848: 263200, 164, 201.672, 
852: 264000, 165, 180.425, 
