[2025-09-21 17:52] Env=LunarLander-v2
Ep, Timestep, Update, Avg_return
624: 177600, 111, 253.275, 
626: 178400, 111, 256.693, 
629: 179200, 112, 257.210, 
631: 180000, 112, 230.484, 
633: 180800, 113, 203.015, 
636: 181600, 113, 177.323, 
639: 182400, 114, 164.168, 
641: 183200, 114, 182.472, 
643: 184000, 115, 213.453, 
646: 184800, 115, 208.803, 
648: 185600, 116, 212.622, 
651: 186400, 116, 180.950, 
653: 187200, 117, 174.471, 
656: 188000, 117, 191.592, 
658: 188800, 118, 184.928, 
660: 189600, 118, 203.228, 
663: 190400, 119, 141.130, 
665: 191200, 119, 135.312, 
667: 192000, 120, 124.209, 
670: 192800, 120, 119.273, 
673: 193600, 121, 160.600, 
676: 194400, 121, 129.473, 
679: 195200, 122, 172.271, 
682: 196000, 122, 199.095, 
686: 196800, 123, 204.023, 
688: 197600, 123, 182.837, 
690: 198400, 124, 179.914, 
692: 199200, 124, 151.248, 
694: 200000, 125, 166.572, 
697: 200800, 125, 178.438, 
699: 201600, 126, 185.184, 
701: 202400, 126, 179.204, 
704: 203200, 127, 173.970, 
706: 204000, 127, 186.136, 
709: 204800, 128, 157.160, 
711: 205600, 128, 150.679, 
714: 206400, 129, 174.835, 
716: 207200, 129, 163.184, 
718: 208000, 130, 192.277, 
721: 208800, 130, 178.348, 
723: 209600, 131, 175.114, 
725: 210400, 131, 166.756, 
728: 211200, 132, 157.999, 
731: 212000, 132, 183.084, 
733: 212800, 133, 159.473, 
736: 213600, 133, 170.562, 
739: 214400, 134, 177.534, 
741: 215200, 134, 177.218, 
744: 216000, 135, 205.208, 
746: 216800, 135, 188.827, 
748: 217600, 136, 151.623, 
751: 218400, 136, 165.294, 
753: 219200, 137, 171.257, 
756: 220000, 137, 200.717, 
758: 220800, 138, 223.020, 
761: 221600, 138, 241.247, 
764: 222400, 139, 218.631, 
766: 223200, 139, 217.654, 
769: 224000, 140, 219.488, 
771: 224800, 140, 205.168, 
774: 225600, 141, 212.087, 
776: 226400, 141, 201.946, 
779: 227200, 142, 208.667, 
782: 228000, 142, 178.390, 
784: 228800, 143, 171.338, 
786: 229600, 143, 174.678, 
789: 230400, 144, 155.852, 
792: 231200, 144, 196.638, 
795: 232000, 145, 227.885, 
798: 232800, 145, 214.805, 
800: 233600, 146, 242.200, 
804: 234400, 146, 219.200, 
807: 235200, 147, 214.477, 
810: 236000, 147, 211.238, 
813: 236800, 148, 236.949, 
815: 237600, 148, 234.623, 
818: 238400, 149, 259.518, 
821: 239200, 149, 222.793, 
824: 240000, 150, 201.877, 
827: 240800, 150, 197.481, 
830: 241600, 151, 217.453, 
833: 242400, 151, 210.321, 
835: 243200, 152, 200.429, 
837: 244000, 152, 192.185, 
841: 244800, 153, 205.668, 
843: 245600, 153, 229.532, 
846: 246400, 154, 220.372, 
848: 247200, 154, 195.508, 
851: 248000, 155, 152.359, 
855: 248800, 155, 122.200, 
857: 249600, 156, 144.707, 
860: 250400, 156, 140.006, 
862: 251200, 157, 139.289, 
865: 252000, 157, 200.177, 
869: 252800, 158, 241.694, 
871: 253600, 158, 248.288, 
874: 254400, 159, 197.325, 
877: 255200, 159, 198.223, 
880: 256000, 160, 174.551, 
883: 256800, 160, 201.615, 
886: 257600, 161, 178.722, 
888: 258400, 161, 196.499, 
891: 259200, 162, 190.045, 
894: 260000, 162, 190.914, 
897: 260800, 163, 172.504, 
900: 261600, 163, 180.034, 
902: 262400, 164, 207.953, 
904: 263200, 164, 178.448, 
907: 264000, 165, 221.242, 
910: 264800, 165, 226.950, 
912: 265600, 166, 214.480, 
915: 266400, 166, 235.365, 
918: 267200, 167, 226.662, 
920: 268000, 167, 220.199, 
923: 268800, 168, 208.150, 
927: 269600, 168, 227.013, 
929: 270400, 169, 234.883, 
932: 271200, 169, 215.225, 
935: 272000, 170, 214.713, 
937: 272800, 170, 208.867, 
941: 273600, 171, 235.505, 
943: 274400, 171, 237.001, 
946: 275200, 172, 228.370, 
948: 276000, 172, 217.950, 
951: 276800, 173, 210.636, 
955: 277600, 173, 200.796, 
957: 278400, 174, 217.865, 
960: 279200, 174, 169.849, 
963: 280000, 175, 146.390, 
965: 280800, 175, 136.106, 
968: 281600, 176, 105.532, 
971: 282400, 176, 86.044, 
974: 283200, 177, 131.680, 
978: 284000, 177, 184.396, 
980: 284800, 178, 221.483, 
984: 285600, 178, 187.450, 
987: 286400, 179, 172.600, 
990: 287200, 179, 152.589, 
993: 288000, 180, 174.165, 
997: 288800, 180, 122.145, 
1000: 289600, 181, 134.093, 
1004: 290400, 181, 151.552, 
1006: 291200, 182, 183.625, 
1009: 292000, 182, 186.159, 
1013: 292800, 183, 208.830, 
1016: 293600, 183, 211.929, 
1019: 294400, 184, 235.739, 
1023: 295200, 184, 219.969, 
1026: 296000, 185, 184.496, 
1028: 296800, 185, 148.975, 
1031: 297600, 186, 144.156, 
1034: 298400, 186, 165.884, 
1038: 299200, 187, 207.064, 
1041: 300000, 187, 235.645, 
1044: 300800, 188, 240.727, 
1047: 301600, 188, 238.383, 
1050: 302400, 189, 236.108, 
1054: 303200, 189, 186.817, 
1057: 304000, 190, 160.282, 
1061: 304800, 190, 165.077, 
1064: 305600, 191, 192.299, 
1067: 306400, 191, 220.553, 
1070: 307200, 192, 203.706, 
1073: 308000, 192, 195.952, 
1077: 308800, 193, 182.921, 
1079: 309600, 193, 205.583, 
1083: 310400, 194, 234.509, 
1086: 311200, 194, 242.130, 
1089: 312000, 195, 229.093, 
1093: 312800, 195, 200.871, 
1095: 313600, 196, 198.663, 
1099: 314400, 196, 204.408, 
1102: 315200, 197, 205.589, 
1106: 316000, 197, 192.290, 
1109: 316800, 198, 214.096, 
1111: 317600, 198, 229.203, 
1114: 318400, 199, 205.879, 
1117: 319200, 199, 210.565, 
1120: 320000, 200, 185.030, 
1123: 320800, 200, 203.027, 
1126: 321600, 201, 235.753, 
1129: 322400, 201, 227.763, 
1131: 323200, 202, 217.150, 
1135: 324000, 202, 210.578, 
1137: 324800, 203, 216.255, 
1140: 325600, 203, 209.190, 
1143: 326400, 204, 206.576, 
1146: 327200, 204, 198.221, 
1148: 328000, 205, 184.401, 
1151: 328800, 205, 223.005, 
1154: 329600, 206, 220.321, 
1156: 330400, 206, 233.025, 
1159: 331200, 207, 262.619, 
1161: 332000, 207, 220.373, 
1165: 332800, 208, 216.124, 
1168: 333600, 208, 203.456, 
1170: 334400, 209, 205.775, 
1173: 335200, 209, 232.053, 
1176: 336000, 210, 237.619, 
1179: 336800, 210, 255.136, 
1181: 337600, 211, 245.638, 
1185: 338400, 211, 207.033, 
1188: 339200, 212, 209.553, 
1191: 340000, 212, 232.712, 
1195: 340800, 213, 260.191, 
1198: 341600, 213, 230.148, 
1201: 342400, 214, 230.869, 
1204: 343200, 214, 235.320, 
1207: 344000, 215, 215.331, 
1209: 344800, 215, 231.560, 
1212: 345600, 216, 226.954, 
1215: 346400, 216, 242.258, 
1218: 347200, 217, 256.130, 
1222: 348000, 217, 213.262, 
1225: 348800, 218, 217.334, 
1228: 349600, 218, 211.221, 
1232: 350400, 219, 254.481, 
1235: 351200, 219, 258.554, 
1238: 352000, 220, 260.265, 
1242: 352800, 220, 233.002, 
1245: 353600, 221, 229.511, 
1248: 354400, 221, 211.139, 
1251: 355200, 222, 193.608, 
1255: 356000, 222, 196.855, 
1258: 356800, 223, 194.588, 
1261: 357600, 223, 216.379, 
1264: 358400, 224, 237.492, 
1268: 359200, 224, 268.893, 
1271: 360000, 225, 272.104, 
1274: 360800, 225, 251.081, 
1277: 361600, 226, 243.062, 
1279: 362400, 226, 228.607, 
1282: 363200, 227, 211.072, 
1284: 364000, 227, 234.962, 
1288: 364800, 228, 232.695, 
1291: 365600, 228, 241.948, 
1294: 366400, 229, 254.031, 
1297: 367200, 229, 258.232, 
1300: 368000, 230, 246.307, 
1303: 368800, 230, 248.759, 
1307: 369600, 231, 224.882, 
1309: 370400, 231, 236.505, 
1312: 371200, 232, 240.684, 
1315: 372000, 232, 228.071, 
1319: 372800, 233, 205.551, 
1322: 373600, 233, 202.993, 
1326: 374400, 234, 194.812, 
1329: 375200, 234, 243.378, 
1331: 376000, 235, 213.130, 
1334: 376800, 235, 208.741, 
1337: 377600, 236, 205.765, 
1340: 378400, 236, 180.523, 
1343: 379200, 237, 206.133, 
1345: 380000, 237, 216.625, 
1348: 380800, 238, 185.837, 
1351: 381600, 238, 215.288, 
1355: 382400, 239, 223.509, 
1358: 383200, 239, 261.354, 
1360: 384000, 240, 262.266, 
1363: 384800, 240, 217.777, 
1366: 385600, 241, 220.962, 
1370: 386400, 241, 205.681, 
1373: 387200, 242, 247.802, 
1377: 388000, 242, 223.427, 
1380: 388800, 243, 252.141, 
1382: 389600, 243, 239.269, 
1386: 390400, 244, 260.339, 
1388: 391200, 244, 244.133, 
1391: 392000, 245, 234.360, 
1394: 392800, 245, 249.797, 
1397: 393600, 246, 252.956, 
1400: 394400, 246, 242.263, 
1404: 395200, 247, 240.463, 
1406: 396000, 247, 198.713, 
1409: 396800, 248, 217.710, 
1413: 397600, 248, 194.248, 
1416: 398400, 249, 234.422, 
1419: 399200, 249, 236.922, 
1423: 400000, 250, 228.470, 
1425: 400800, 250, 216.010, 
1428: 401600, 251, 205.681, 
1431: 402400, 251, 216.313, 
1434: 403200, 252, 244.680, 
1438: 404000, 252, 234.291, 
1441: 404800, 253, 215.495, 
1445: 405600, 253, 148.922, 
1448: 406400, 254, 134.649, 
1451: 407200, 254, 152.259, 
1454: 408000, 255, 199.991, 
1458: 408800, 255, 236.625, 
1461: 409600, 256, 231.728, 
1463: 410400, 256, 229.700, 
1467: 411200, 257, 221.083, 
1470: 412000, 257, 224.931, 
1474: 412800, 258, 206.165, 
1477: 413600, 258, 207.624, 
1481: 414400, 259, 157.021, 
1484: 415200, 259, 198.635, 
1487: 416000, 260, 201.363, 
1491: 416800, 260, 197.551, 
1495: 417600, 261, 215.906, 
1498: 418400, 261, 211.523, 
1502: 419200, 262, 248.075, 
1505: 420000, 262, 222.410, 
1509: 420800, 263, 228.283, 
1512: 421600, 263, 224.978, 
1516: 422400, 264, 221.348, 
1518: 423200, 264, 207.528, 
1522: 424000, 265, 182.096, 
1525: 424800, 265, 211.136, 
1529: 425600, 266, 221.647, 
1533: 426400, 266, 240.383, 
1536: 427200, 267, 214.147, 
1539: 428000, 267, 243.559, 
1543: 428800, 268, 247.688, 
1546: 429600, 268, 275.632, 
1548: 430400, 269, 271.580, 
1551: 431200, 269, 253.467, 
1554: 432000, 270, 255.705, 
1558: 432800, 270, 208.807, 
1562: 433600, 271, 196.239, 
1566: 434400, 271, 156.035, 
1569: 435200, 272, 176.881, 
1573: 436000, 272, 183.493, 
1576: 436800, 273, 211.728, 
1579: 437600, 273, 243.620, 
1582: 438400, 274, 263.848, 
1586: 439200, 274, 255.506, 
1589: 440000, 275, 229.615, 
1592: 440800, 275, 231.148, 
1595: 441600, 276, 244.683, 
1597: 442400, 276, 239.737, 
1601: 443200, 277, 244.826, 
1604: 444000, 277, 218.106, 
1607: 444800, 278, 221.819, 
1610: 445600, 278, 240.251, 
1613: 446400, 279, 266.524, 
1617: 447200, 279, 276.897, 
1619: 448000, 280, 275.925, 
1623: 448800, 280, 207.209, 
1626: 449600, 281, 205.892, 
1629: 450400, 281, 203.246, 
1632: 451200, 282, 249.241, 
1636: 452000, 282, 210.879, 
1639: 452800, 283, 212.843, 
1642: 453600, 283, 226.731, 
1645: 454400, 284, 263.835, 
1649: 455200, 284, 251.564, 
1652: 456000, 285, 257.071, 
1655: 456800, 285, 256.093, 
1658: 457600, 286, 240.158, 
1661: 458400, 286, 260.263, 
1665: 459200, 287, 237.393, 
1668: 460000, 287, 245.315, 
1670: 460800, 288, 244.295, 
1673: 461600, 288, 215.153, 
1676: 462400, 289, 234.438, 
1680: 463200, 289, 213.084, 
1683: 464000, 290, 241.024, 
1686: 464800, 290, 247.534, 
1689: 465600, 291, 273.802, 
1693: 466400, 291, 277.427, 
1696: 467200, 292, 280.498, 
1699: 468000, 292, 259.667, 
1702: 468800, 293, 256.664, 
1705: 469600, 293, 252.035, 
1709: 470400, 294, 269.802, 
1712: 471200, 294, 245.277, 
1716: 472000, 295, 247.764, 
1719: 472800, 295, 238.902, 
1723: 473600, 296, 264.129, 
1726: 474400, 296, 238.973, 
1729: 475200, 297, 246.717, 
1733: 476000, 297, 250.988, 
1735: 476800, 298, 255.273, 
1739: 477600, 298, 243.666, 
1742: 478400, 299, 235.585, 
1745: 479200, 299, 256.977, 
1748: 480000, 300, 262.339, 
1751: 480800, 300, 249.950, 
1754: 481600, 301, 246.871, 
1758: 482400, 301, 239.309, 
1761: 483200, 302, 234.407, 
1764: 484000, 302, 240.595, 
1768: 484800, 303, 243.830, 
1771: 485600, 303, 243.656, 
1774: 486400, 304, 237.395, 
1776: 487200, 304, 223.611, 
1780: 488000, 305, 242.484, 
1783: 488800, 305, 239.833, 
1786: 489600, 306, 267.067, 
1789: 490400, 306, 260.940, 
1792: 491200, 307, 262.953, 
1796: 492000, 307, 235.193, 
1799: 492800, 308, 249.935, 
1803: 493600, 308, 250.550, 
1806: 494400, 309, 250.482, 
1810: 495200, 309, 247.955, 
1813: 496000, 310, 242.722, 
1816: 496800, 310, 247.789, 
1819: 497600, 311, 250.460, 
1822: 498400, 311, 247.337, 
1825: 499200, 312, 249.880, 
1828: 500000, 312, 248.046, 
1832: 500800, 313, 253.414, 
1835: 501600, 313, 227.055, 
1839: 502400, 314, 225.461, 
1843: 503200, 314, 224.116, 
1845: 504000, 315, 234.499, 
1849: 504800, 315, 253.593, 
1852: 505600, 316, 253.619, 
1856: 506400, 316, 277.625, 
1859: 507200, 317, 277.439, 
1864: 508000, 317, 249.374, 
1866: 508800, 318, 233.141, 
1869: 509600, 318, 233.912, 
1873: 510400, 319, 232.258, 
1876: 511200, 319, 271.659, 
1880: 512000, 320, 267.983, 
1884: 512800, 320, 269.755, 
1887: 513600, 321, 215.252, 
1891: 514400, 321, 193.143, 
1893: 515200, 322, 186.071, 
1897: 516000, 322, 239.253, 
1900: 516800, 323, 259.932, 
1903: 517600, 323, 257.146, 
1906: 518400, 324, 254.434, 
1910: 519200, 324, 257.255, 
1913: 520000, 325, 270.363, 
1917: 520800, 325, 278.283, 
1920: 521600, 326, 268.918, 
1924: 522400, 326, 266.744, 
1927: 523200, 327, 262.946, 
1930: 524000, 327, 274.847, 
1934: 524800, 328, 270.166, 
1938: 525600, 328, 276.513, 
1941: 526400, 329, 274.342, 
1944: 527200, 329, 281.231, 
1947: 528000, 330, 277.703, 
1950: 528800, 330, 268.348, 
1954: 529600, 331, 259.411, 
1957: 530400, 331, 257.199, 
1961: 531200, 332, 269.785, 
1965: 532000, 332, 277.563, 
1967: 532800, 333, 267.299, 
1971: 533600, 333, 262.360, 
1975: 534400, 334, 265.433, 
1977: 535200, 334, 260.065, 
1980: 536000, 335, 261.201, 
1983: 536800, 335, 263.602, 
1987: 537600, 336, 275.827, 
1991: 538400, 336, 251.498, 
1994: 539200, 337, 254.815, 
1997: 540000, 337, 217.337, 
2001: 540800, 338, 240.220, 
2004: 541600, 338, 194.922, 
2008: 542400, 339, 236.343, 
2010: 543200, 339, 219.487, 
2013: 544000, 340, 266.285, 
2016: 544800, 340, 248.761, 
2020: 545600, 341, 262.091, 
2023: 546400, 341, 264.267, 
2027: 547200, 342, 272.548, 
2030: 548000, 342, 274.985, 
2033: 548800, 343, 240.885, 
2037: 549600, 343, 220.879, 
2040: 550400, 344, 221.684, 
2044: 551200, 344, 254.628, 
2047: 552000, 345, 275.017, 
2051: 552800, 345, 239.473, 
2054: 553600, 346, 237.358, 
2057: 554400, 346, 221.966, 
2060: 555200, 347, 252.154, 
2064: 556000, 347, 254.998, 
2067: 556800, 348, 271.230, 
2071: 557600, 348, 271.037, 
2074: 558400, 349, 271.394, 
2078: 559200, 349, 246.215, 
2081: 560000, 350, 227.648, 
2084: 560800, 350, 227.885, 
2088: 561600, 351, 228.106, 
2091: 562400, 351, 249.344, 
2095: 563200, 352, 276.231, 
2098: 564000, 352, 269.947, 
2101: 564800, 353, 265.254, 
2105: 565600, 353, 263.245, 
2108: 566400, 354, 268.974, 
2111: 567200, 354, 269.846, 
2115: 568000, 355, 275.253, 
2118: 568800, 355, 272.198, 
2121: 569600, 356, 275.253, 
2124: 570400, 356, 275.074, 
2128: 571200, 357, 257.912, 
2130: 572000, 357, 252.843, 
2134: 572800, 358, 228.187, 
2137: 573600, 358, 240.164, 
2141: 574400, 359, 273.489, 
2144: 575200, 359, 274.822, 
2148: 576000, 360, 277.140, 
2151: 576800, 360, 269.795, 
2155: 577600, 361, 275.897, 
2158: 578400, 361, 262.846, 
2160: 579200, 362, 228.341, 
2163: 580000, 362, 226.841, 
2166: 580800, 363, 225.949, 
2169: 581600, 363, 244.863, 
2172: 582400, 364, 258.422, 
2175: 583200, 364, 243.822, 
2179: 584000, 365, 251.042, 
2182: 584800, 365, 258.693, 
2186: 585600, 366, 267.862, 
2189: 586400, 366, 273.152, 
2193: 587200, 367, 268.923, 
2196: 588000, 367, 262.436, 
2199: 588800, 368, 240.688, 
2202: 589600, 368, 237.716, 
2205: 590400, 369, 223.249, 
2208: 591200, 369, 242.803, 
2212: 592000, 370, 248.304, 
2216: 592800, 370, 244.262, 
2219: 593600, 371, 243.702, 
2223: 594400, 371, 247.739, 
2227: 595200, 372, 270.851, 
2230: 596000, 372, 272.603, 
2233: 596800, 373, 267.142, 
2237: 597600, 373, 247.086, 
2241: 598400, 374, 247.754, 
2244: 599200, 374, 253.056, 
2247: 600000, 375, 263.240, 

Training time = 0:27:11
