[2025-09-21 17:52] Env=LunarLander-v2
Ep, Timestep, Update, Avg_return
9: 800, 0, -143.662, 
18: 1600, 1, -149.926, 
26: 2400, 1, -189.969, 
35: 3200, 2, -190.830, 
43: 4000, 2, -152.662, 
51: 4800, 3, -94.967, 
60: 5600, 3, -130.230, 
68: 6400, 4, -120.381, 
77: 7200, 4, -140.558, 
84: 8000, 5, -144.899, 
92: 8800, 5, -90.662, 
100: 9600, 6, -100.027, 
106: 10400, 6, -93.003, 
113: 11200, 7, -97.508, 
120: 12000, 7, -117.363, 
127: 12800, 8, -149.691, 
134: 13600, 8, -117.593, 
140: 14400, 9, -126.972, 
146: 15200, 9, -123.070, 
152: 16000, 10, -99.803, 
159: 16800, 10, -47.217, 
165: 17600, 11, -85.605, 
171: 18400, 11, -84.063, 
176: 19200, 12, -55.572, 
183: 20000, 12, -80.194, 
188: 20800, 13, -92.212, 
192: 21600, 13, -89.219, 
195: 22400, 14, -146.345, 
199: 23200, 14, -112.834, 
202: 24000, 15, -87.852, 
205: 24800, 15, -21.778, 
209: 25600, 16, -45.847, 
211: 26400, 16, -47.740, 
214: 27200, 17, -80.263, 
216: 28000, 17, -67.322, 
219: 28800, 18, -32.712, 
221: 29600, 18, -58.865, 
224: 30400, 19, -7.873, 
226: 31200, 19, -6.722, 
229: 32000, 20, -2.413, 
231: 32800, 20, 38.238, 
233: 33600, 21, 26.059, 
235: 34400, 21, 54.402, 
237: 35200, 22, 54.639, 
239: 36000, 22, 50.350, 
242: 36800, 23, 31.513, 
244: 37600, 23, 40.265, 
246: 38400, 24, 31.766, 
248: 39200, 24, 47.580, 
250: 40000, 25, 39.852, 
252: 40800, 25, 52.330, 
254: 41600, 26, 46.013, 
256: 42400, 26, 50.180, 
258: 43200, 27, 38.673, 
260: 44000, 27, 49.673, 
262: 44800, 28, 38.556, 
264: 45600, 28, 48.507, 
266: 46400, 29, 60.361, 
268: 47200, 29, 60.473, 
270: 48000, 30, 59.492, 
272: 48800, 30, 70.150, 
274: 49600, 31, 68.264, 
276: 50400, 31, 70.142, 
278: 51200, 32, 69.112, 
280: 52000, 32, 80.863, 
282: 52800, 33, 87.397, 
284: 53600, 33, 93.886, 
286: 54400, 34, 91.061, 
288: 55200, 34, 103.450, 
290: 56000, 35, 98.365, 
292: 56800, 35, 96.043, 
294: 57600, 36, 103.581, 
296: 58400, 36, 110.301, 
298: 59200, 37, 94.771, 
300: 60000, 37, 96.421, 
302: 60800, 38, 97.759, 
304: 61600, 38, 90.583, 
306: 62400, 39, 85.367, 
308: 63200, 39, 85.317, 
310: 64000, 40, 85.913, 
312: 64800, 40, 71.836, 
314: 65600, 41, 67.547, 
316: 66400, 41, 64.080, 
318: 67200, 42, 65.675, 
320: 68000, 42, 62.667, 
322: 68800, 43, 80.347, 
324: 69600, 43, 85.863, 
326: 70400, 44, 89.175, 
328: 71200, 44, 97.871, 
330: 72000, 45, 99.987, 
332: 72800, 45, 88.756, 
334: 73600, 46, 85.476, 
336: 74400, 46, 88.108, 
338: 75200, 47, 94.357, 
340: 76000, 47, 93.490, 
343: 76800, 48, 89.536, 
345: 77600, 48, 96.571, 
347: 78400, 49, 101.054, 
349: 79200, 49, 111.056, 
351: 80000, 50, 119.686, 
353: 80800, 50, 134.667, 
355: 81600, 51, 125.776, 
357: 82400, 51, 111.598, 
359: 83200, 52, 80.056, 
361: 84000, 52, 76.612, 
363: 84800, 53, 81.657, 
365: 85600, 53, 88.849, 
367: 86400, 54, 107.171, 
369: 87200, 54, 120.780, 
372: 88000, 55, 122.963, 
374: 88800, 55, 122.889, 
376: 89600, 56, 105.048, 
378: 90400, 56, 104.293, 
380: 91200, 57, 122.655, 
382: 92000, 57, 102.500, 
384: 92800, 58, 87.710, 
386: 93600, 58, 77.854, 
388: 94400, 59, 62.737, 
390: 95200, 59, 61.082, 
393: 96000, 60, 51.914, 
395: 96800, 60, 73.679, 
397: 97600, 61, 76.921, 
399: 98400, 61, 93.363, 
401: 99200, 62, 95.034, 
403: 100000, 62, 116.165, 
405: 100800, 63, 123.499, 
407: 101600, 63, 134.290, 
409: 102400, 64, 134.227, 
411: 103200, 64, 131.701, 
413: 104000, 65, 121.196, 
415: 104800, 65, 112.242, 
417: 105600, 66, 110.871, 
419: 106400, 66, 114.063, 
421: 107200, 67, 102.782, 
423: 108000, 67, 111.873, 
425: 108800, 68, 114.593, 
427: 109600, 68, 120.105, 
429: 110400, 69, 118.127, 
431: 111200, 69, 137.181, 
434: 112000, 70, 144.659, 
436: 112800, 70, 147.973, 
438: 113600, 71, 148.660, 
440: 114400, 71, 141.459, 
442: 115200, 72, 141.461, 
444: 116000, 72, 151.712, 
446: 116800, 73, 151.492, 
449: 117600, 73, 150.872, 
451: 118400, 74, 161.648, 
453: 119200, 74, 146.136, 
455: 120000, 75, 134.889, 
457: 120800, 75, 130.180, 
459: 121600, 76, 130.508, 
462: 122400, 76, 98.378, 
464: 123200, 77, 111.263, 
466: 124000, 77, 126.587, 
469: 124800, 78, 98.844, 
471: 125600, 78, 116.203, 
473: 126400, 79, 136.427, 
475: 127200, 79, 107.719, 
477: 128000, 80, 103.587, 
479: 128800, 80, 106.827, 
481: 129600, 81, 106.164, 
483: 130400, 81, 85.046, 
486: 131200, 82, 96.454, 
488: 132000, 82, 95.486, 
490: 132800, 83, 81.048, 
492: 133600, 83, 78.132, 
494: 134400, 84, 65.403, 
496: 135200, 84, 81.537, 
498: 136000, 85, 82.302, 
500: 136800, 85, 110.577, 
502: 137600, 86, 124.484, 
505: 138400, 86, 127.906, 
507: 139200, 87, 131.331, 
509: 140000, 87, 107.073, 
511: 140800, 88, 113.150, 
514: 141600, 88, 118.842, 
516: 142400, 89, 137.586, 
518: 143200, 89, 153.232, 
521: 144000, 90, 139.205, 
524: 144800, 90, 142.171, 
526: 145600, 91, 148.709, 
528: 146400, 91, 161.051, 
530: 147200, 92, 174.486, 
533: 148000, 92, 173.144, 
535: 148800, 93, 177.180, 
538: 149600, 93, 153.896, 
540: 150400, 94, 128.213, 
542: 151200, 94, 154.215, 
545: 152000, 95, 137.366, 
548: 152800, 95, 140.056, 
550: 153600, 96, 165.729, 
553: 154400, 96, 144.268, 
555: 155200, 97, 172.480, 
558: 156000, 97, 178.077, 
560: 156800, 98, 184.517, 
563: 157600, 98, 181.341, 
566: 158400, 99, 144.200, 
568: 159200, 99, 155.218, 
571: 160000, 100, 155.148, 
573: 160800, 100, 182.505, 
575: 161600, 101, 196.790, 
578: 162400, 101, 196.913, 
580: 163200, 102, 189.618, 
582: 164000, 102, 188.447, 
585: 164800, 103, 190.282, 
587: 165600, 103, 191.377, 
589: 166400, 104, 189.949, 
591: 167200, 104, 156.922, 
594: 168000, 105, 149.590, 
596: 168800, 105, 180.605, 
599: 169600, 106, 165.220, 
601: 170400, 106, 198.092, 
603: 171200, 107, 196.407, 
607: 172000, 107, 182.236, 
609: 172800, 108, 176.128, 
611: 173600, 108, 164.769, 
614: 174400, 109, 141.206, 
616: 175200, 109, 163.649, 
619: 176000, 110, 192.221, 
621: 176800, 110, 214.567, 
