episode, timestep, update_iters, epi_return, avg_turn
154, 15030, 15, 500.0, 133.56
155, 15509, 15, 479.0, 138.24
156, 16009, 16, 500.0, 142.51
157, 16509, 16, 500.0, 146.99
158, 16853, 16, 344.0, 151.72
159, 17353, 17, 500.0, 154.25
160, 17853, 17, 500.0, 159.12
161, 18353, 18, 500.0, 163.99
162, 18853, 18, 500.0, 168.62
163, 19353, 19, 500.0, 173.44
164, 19843, 19, 490.0, 178.1
165, 20343, 20, 500.0, 182.84
166, 20843, 20, 500.0, 187.73
167, 21343, 21, 500.0, 192.32
168, 21843, 21, 500.0, 197.16
169, 22290, 22, 447.0, 202.0
170, 22685, 22, 395.0, 206.33
171, 23185, 23, 500.0, 210.16
172, 23621, 23, 436.0, 214.98
173, 24095, 24, 474.0, 219.15
174, 24595, 24, 500.0, 223.58
175, 25095, 25, 500.0, 228.44
176, 25437, 25, 342.0, 233.15
177, 25937, 25, 500.0, 236.28
178, 26437, 26, 500.0, 241.07
179, 26905, 26, 468.0, 245.78
180, 27405, 27, 500.0, 250.3
181, 27905, 27, 500.0, 255.03
182, 28405, 28, 500.0, 259.77
183, 28696, 28, 291.0, 264.66
184, 29196, 29, 500.0, 267.11
185, 29457, 29, 261.0, 271.96
186, 29668, 29, 211.0, 274.23
187, 30125, 30, 457.0, 276.15
188, 30625, 30, 500.0, 280.35
189, 31125, 31, 500.0, 284.34
190, 31625, 31, 500.0, 289.11
191, 32125, 32, 500.0, 293.12
192, 32625, 32, 500.0, 297.63
193, 33125, 33, 500.0, 302.48
194, 33625, 33, 500.0, 307.33
195, 34125, 34, 500.0, 311.58
196, 34625, 34, 500.0, 316.43
197, 35125, 35, 500.0, 320.52
198, 35625, 35, 500.0, 324.54
199, 36125, 36, 500.0, 329.07
200, 36625, 36, 500.0, 333.61
201, 37125, 37, 500.0, 337.98
202, 37625, 37, 500.0, 342.66
203, 38125, 38, 500.0, 347.2
204, 38625, 38, 500.0, 352.07
205, 39125, 39, 500.0, 356.29
206, 39625, 39, 500.0, 359.99
207, 40125, 40, 500.0, 364.8
208, 40625, 40, 500.0, 369.51
209, 41125, 41, 500.0, 374.01
210, 41625, 41, 500.0, 377.75
211, 42125, 42, 500.0, 382.15
212, 42625, 42, 500.0, 385.43
213, 43125, 43, 500.0, 390.02
214, 43625, 43, 500.0, 393.89
215, 44125, 44, 500.0, 398.2
216, 44625, 44, 500.0, 403.01
217, 45125, 45, 500.0, 407.43
218, 45625, 45, 500.0, 409.87
219, 46125, 46, 500.0, 413.26
220, 46625, 46, 500.0, 416.71
221, 47125, 47, 500.0, 419.25
222, 47625, 47, 500.0, 422.68
223, 48125, 48, 500.0, 425.94
224, 48625, 48, 500.0, 429.35
225, 49125, 49, 500.0, 431.88
226, 49625, 49, 500.0, 434.67
227, 50125, 50, 500.0, 435.18
228, 50625, 50, 500.0, 437.43
229, 51125, 51, 500.0, 440.37
230, 51625, 51, 500.0, 441.24
231, 52125, 52, 500.0, 442.92
232, 52625, 52, 500.0, 445.06
233, 53125, 53, 500.0, 448.41
234, 53625, 53, 500.0, 450.02
235, 54125, 54, 500.0, 453.46
236, 54625, 54, 500.0, 455.3
237, 55125, 55, 500.0, 457.72
238, 55625, 55, 500.0, 460.56
239, 56125, 56, 500.0, 461.35
240, 56625, 56, 500.0, 464.67
241, 57125, 57, 500.0, 467.2
242, 57625, 57, 500.0, 469.97
243, 58125, 58, 500.0, 470.42
244, 58625, 58, 500.0, 472.88
245, 59125, 59, 500.0, 475.91
246, 59625, 59, 500.0, 477.31
247, 60125, 60, 500.0, 478.7
248, 60625, 60, 500.0, 480.3
249, 61125, 61, 500.0, 481.39
250, 61625, 61, 500.0, 482.88
251, 62125, 62, 500.0, 483.91
252, 62625, 62, 500.0, 484.03
253, 63125, 63, 500.0, 484.73
254, 63625, 63, 500.0, 485.95
255, 64125, 64, 500.0, 485.95
256, 64625, 64, 500.0, 486.16
257, 65125, 65, 500.0, 486.16
258, 65625, 65, 500.0, 486.16
259, 66125, 66, 500.0, 487.72
260, 66625, 66, 500.0, 487.72
261, 67125, 67, 500.0, 487.72
262, 67625, 67, 500.0, 487.72
263, 68125, 68, 500.0, 487.72
264, 68625, 68, 500.0, 487.72
265, 69125, 69, 500.0, 487.82
266, 69625, 69, 500.0, 487.82
267, 70125, 70, 500.0, 487.82
268, 70625, 70, 500.0, 487.82
269, 71125, 71, 500.0, 487.82
270, 71625, 71, 500.0, 488.35
271, 72125, 72, 500.0, 489.4
272, 72625, 72, 500.0, 489.4
273, 73125, 73, 500.0, 490.04
274, 73625, 73, 500.0, 490.3
275, 74125, 74, 500.0, 490.3
276, 74625, 74, 500.0, 490.3
277, 75125, 75, 500.0, 491.88
278, 75625, 75, 500.0, 491.88
279, 76125, 76, 500.0, 491.88
280, 76625, 76, 500.0, 492.2
281, 77125, 77, 500.0, 492.2
282, 77625, 77, 500.0, 492.2
283, 78125, 78, 500.0, 492.2
284, 78625, 78, 500.0, 494.29
285, 79099, 79, 474.0, 494.29
286, 79599, 79, 500.0, 496.42
287, 80099, 80, 500.0, 499.31
288, 80572, 80, 473.0, 499.74
289, 80905, 80, 333.0, 499.47
290, 81360, 81, 455.0, 497.8
291, 81860, 81, 500.0, 497.35
292, 82360, 82, 500.0, 497.35
293, 82860, 82, 500.0, 497.35
294, 83360, 83, 500.0, 497.35
295, 83860, 83, 500.0, 497.35
296, 84360, 84, 500.0, 497.35
297, 84860, 84, 500.0, 497.35
298, 85360, 85, 500.0, 497.35
299, 85860, 85, 500.0, 497.35
300, 86360, 86, 500.0, 497.35
301, 86860, 86, 500.0, 497.35
302, 87360, 87, 500.0, 497.35
303, 87860, 87, 500.0, 497.35
304, 88360, 88, 500.0, 497.35
305, 88860, 88, 500.0, 497.35
306, 89360, 89, 500.0, 497.35
307, 89687, 89, 327.0, 497.35
308, 90187, 90, 500.0, 495.62
309, 90548, 90, 361.0, 495.62
310, 91048, 91, 500.0, 494.23
311, 91548, 91, 500.0, 494.23
312, 92048, 92, 500.0, 494.23
313, 92548, 92, 500.0, 494.23
314, 93048, 93, 500.0, 494.23
315, 93548, 93, 500.0, 494.23
316, 94048, 94, 500.0, 494.23
317, 94548, 94, 500.0, 494.23
318, 95048, 95, 500.0, 494.23
319, 95548, 95, 500.0, 494.23
320, 96048, 96, 500.0, 494.23
321, 96548, 96, 500.0, 494.23
322, 97048, 97, 500.0, 494.23
323, 97548, 97, 500.0, 494.23
324, 98032, 98, 484.0, 494.23
325, 98532, 98, 500.0, 494.07
326, 99032, 99, 500.0, 494.07
327, 99532, 99, 500.0, 494.07
328, 100032, 100, 500.0, 494.07
329, 100532, 100, 500.0, 494.07
330, 101032, 101, 500.0, 494.07
331, 101532, 101, 500.0, 494.07
332, 102032, 102, 500.0, 494.07
333, 102532, 102, 500.0, 494.07
334, 103032, 103, 500.0, 494.07
335, 103532, 103, 500.0, 494.07
336, 104032, 104, 500.0, 494.07
337, 104532, 104, 500.0, 494.07
338, 105032, 105, 500.0, 494.07
339, 105532, 105, 500.0, 494.07
340, 106032, 106, 500.0, 494.07
341, 106532, 106, 500.0, 494.07
342, 107032, 107, 500.0, 494.07
343, 107532, 107, 500.0, 494.07
344, 108032, 108, 500.0, 494.07
345, 108532, 108, 500.0, 494.07
346, 109032, 109, 500.0, 494.07
347, 109532, 109, 500.0, 494.07
348, 110032, 110, 500.0, 494.07
349, 110532, 110, 500.0, 494.07
350, 111032, 111, 500.0, 494.07
351, 111532, 111, 500.0, 494.07
352, 112032, 112, 500.0, 494.07
353, 112532, 112, 500.0, 494.07
354, 113032, 113, 500.0, 494.07
355, 113532, 113, 500.0, 494.07
356, 114032, 114, 500.0, 494.07
357, 114532, 114, 500.0, 494.07
358, 115032, 115, 500.0, 494.07
359, 115532, 115, 500.0, 494.07
360, 116032, 116, 500.0, 494.07
361, 116532, 116, 500.0, 494.07
362, 117032, 117, 500.0, 494.07
363, 117532, 117, 500.0, 494.07
364, 118032, 118, 500.0, 494.07
365, 118532, 118, 500.0, 494.07
366, 119032, 119, 500.0, 494.07
367, 119532, 119, 500.0, 494.07
368, 120032, 120, 500.0, 494.07
369, 120532, 120, 500.0, 494.07
370, 121032, 121, 500.0, 494.07
371, 121532, 121, 500.0, 494.07
372, 122032, 122, 500.0, 494.07
373, 122532, 122, 500.0, 494.07
374, 123032, 123, 500.0, 494.07
375, 123532, 123, 500.0, 494.07
376, 124032, 124, 500.0, 494.07
377, 124532, 124, 500.0, 494.07
378, 125032, 125, 500.0, 494.07
379, 125532, 125, 500.0, 494.07
380, 126032, 126, 500.0, 494.07
381, 126532, 126, 500.0, 494.07
382, 127032, 127, 500.0, 494.07
383, 127532, 127, 500.0, 494.07
384, 128032, 128, 500.0, 494.07
385, 128532, 128, 500.0, 494.07
386, 129032, 129, 500.0, 494.33
387, 129532, 129, 500.0, 494.33
388, 130032, 130, 500.0, 494.33
389, 130532, 130, 500.0, 494.6
390, 131032, 131, 500.0, 496.27
391, 131532, 131, 500.0, 496.72
392, 132032, 132, 500.0, 496.72
393, 132532, 132, 500.0, 496.72
394, 133032, 133, 500.0, 496.72
395, 133532, 133, 500.0, 496.72
396, 134032, 134, 500.0, 496.72
397, 134532, 134, 500.0, 496.72
398, 135032, 135, 500.0, 496.72
399, 135532, 135, 500.0, 496.72
400, 136032, 136, 500.0, 496.72
