episode,timestep,reward
1,1200,-4287.9464
3,2400,-2701.6807
5,3600,-3906.4433
7,4800,-3119.5667
9,6000,-4134.7486
11,7200,-4062.7016
13,8400,-3425.8708
15,9600,-3103.4941
17,10800,-3396.2935
19,12000,-4731.7582
21,13200,-3506.3487
23,14400,-5116.3859
25,15600,-2944.5136
27,16800,-2648.9982
29,18000,-2909.2773
31,19200,-2915.8958
33,20400,-3571.8689
35,21600,-3025.2151
37,22800,-3036.6239
39,24000,-2853.7591
41,25200,-2773.317
43,26400,-3582.812
45,27600,-2793.9022
47,28800,-2549.509
49,30000,-2994.3983
51,31200,-3202.8058
53,32400,-3963.6824
55,33600,-2931.8595
57,34800,-2814.0119
59,36000,-2880.613
61,37200,-2522.8965
63,38400,-3223.9071
65,39600,-2758.6008
67,40800,-3131.5478
69,42000,-2873.2572
71,43200,-3091.3098
73,44400,-2933.1917
75,45600,-2721.0349
77,46800,-2701.2097
79,48000,-2625.2531
81,49200,-2609.2748
83,50400,-2421.9352
85,51600,-2463.4737
87,52800,-2816.2403
89,54000,-2821.4001
91,55200,-2508.2382
93,56400,-2616.0162
95,57600,-2774.7605
97,58800,-2218.1987
99,60000,-2455.7068
101,61200,-2449.6587
103,62400,-2460.0034
105,63600,-2478.4209
107,64800,-2676.7879
109,66000,-2854.5479
111,67200,-2690.7027
113,68400,-2374.5175
115,69600,-2190.2646
117,70800,-2455.1768
119,72000,-2790.0261
121,73200,-2266.3893
123,74400,-2729.5509
125,75600,-2773.2354
127,76800,-2813.9487
129,78000,-2558.7003
131,79200,-2609.1991
133,80400,-2195.6932
135,81600,-2422.6946
137,82800,-2405.1289
139,84000,-2414.1612
141,85200,-2479.9286
143,86400,-2571.4233
145,87600,-2534.0547
147,88800,-2277.951
149,90000,-2562.1861
151,91200,-2615.3351
153,92400,-2637.9751
155,93600,-2566.4694
157,94800,-2613.1662
159,96000,-2605.5779
161,97200,-2375.2614
163,98400,-2646.7052
165,99600,-2465.4483
167,100800,-2439.8734
169,102000,-2647.6846
171,103200,-2305.9266
173,104400,-2415.7957
175,105600,-2274.6339
177,106800,-2365.0802
179,108000,-2241.7224
181,109200,-2261.8273
183,110400,-2659.8303
185,111600,-2316.5829
187,112800,-2383.6912
189,114000,-2304.7404
191,115200,-2341.6806
193,116400,-2412.4665
195,117600,-2368.7899
197,118800,-2259.2707
199,120000,-2481.6084
201,121200,-2318.066
203,122400,-2321.485
205,123600,-2637.4402
207,124800,-2300.8835
209,126000,-2367.9547
211,127200,-2462.61
213,128400,-2309.8832
215,129600,-2270.8601
217,130800,-2194.8824
219,132000,-2574.4567
221,133200,-2537.0802
223,134400,-2430.2996
225,135600,-2208.6806
227,136800,-2304.4627
229,138000,-2597.3921
231,139200,-2430.1643
233,140400,-2311.4727
235,141600,-2422.6581
237,142800,-2381.146
239,144000,-2192.7202
241,145200,-2534.6357
243,146400,-2341.7181
245,147600,-2374.245
247,148800,-2185.888
249,150000,-2177.6775
251,151200,-2379.606
253,152400,-2354.0534
255,153600,-2296.0026
257,154800,-2263.6693
259,156000,-2340.2552
261,157200,-2239.7462
263,158400,-2192.3935
265,159600,-2185.182
267,160800,-2413.6435
269,162000,-2234.1846
271,163200,-2300.1332
273,164400,-2231.441
275,165600,-2314.7372
277,166800,-2157.6161
279,168000,-2293.5958
281,169200,-2175.6383
283,170400,-2283.2233
285,171600,-2275.197
287,172800,-2379.8672
289,174000,-2084.3968
291,175200,-2120.7019
293,176400,-2113.341
295,177600,-1939.8349
297,178800,-2152.8994
299,180000,-2074.73
301,181200,-2109.953
303,182400,-2165.6542
305,183600,-2125.4804
307,184800,-2260.5864
309,186000,-2200.8409
311,187200,-2230.1347
313,188400,-2125.9329
315,189600,-2165.4271
317,190800,-1973.7972
319,192000,-2063.4895
321,193200,-2110.0807
323,194400,-2227.7367
325,195600,-2285.4832
327,196800,-2179.159
329,198000,-2075.991
331,199200,-2303.1443
333,200400,-2167.8237
335,201600,-2113.1163
337,202800,-1740.8414
339,204000,-1814.4265
341,205200,-1932.6911
343,206400,-1822.7531
345,207600,-1826.9446
347,208800,-1999.9574
349,210000,-1937.31
351,211200,-1865.973
353,212400,-1882.592
355,213600,-1807.4734
357,214800,-2117.7326
359,216000,-1674.2665
361,217200,-1752.4436
363,218400,-1759.7851
365,219600,-1631.757
367,220800,-1389.675
369,222000,-1808.439
371,223200,-1188.9229
373,224400,-1863.4546
375,225600,-1129.7517
377,226800,-1123.7699
379,228000,-558.6768
381,229200,-1120.9546
383,230400,-1353.1026
385,231600,-861.0157
387,232800,-378.1138
389,234000,-676.2471
391,235200,-682.2377
393,236400,-552.5345
395,237600,-437.5852
397,238800,-275.7199
399,240000,-1127.6683
401,241200,-371.6819
403,242400,-378.5161
405,243600,-180.5277
407,244800,-496.7156
409,246000,-551.0987
411,247200,-760.4996
413,248400,-422.2419
415,249600,-430.9159
417,250800,-597.6218
419,252000,-322.1975
421,253200,-243.2561
423,254400,-627.7761
425,255600,-317.4127
427,256800,-187.4396
429,258000,-574.8265
431,259200,-498.5528
433,260400,-304.7795
435,261600,-307.9479
437,262800,-305.9538
439,264000,-305.9953
441,265200,-124.8408
443,266400,-183.78
445,267600,-370.2433
447,268800,-61.9667
449,270000,-371.3949
451,271200,-242.611
453,272400,-310.7677
455,273600,-490.9037
457,274800,-561.3602
459,276000,-187.1837
461,277200,-425.3861
463,278400,-579.9458
465,279600,-298.9346
467,280800,-854.0415
469,282000,-247.424
471,283200,-365.0616
473,284400,-373.8647
475,285600,-371.7815
477,286800,-247.9633
479,288000,-242.5355
481,289200,-518.8111
483,290400,-185.0815
485,291600,-315.0442
487,292800,-497.8944
489,294000,-755.2469
491,295200,-302.1988
493,296400,-182.7373
495,297600,-554.9183
497,298800,-655.0457
499,300000,-377.5728
501,301200,-375.2553
503,302400,-190.486
505,303600,-474.4446
507,304800,-188.6452
509,306000,-368.5522
511,307200,-120.3327
513,308400,-748.6702
515,309600,-309.3999
517,310800,-607.6082
519,312000,-375.9366
521,313200,-313.095
523,314400,-376.4676
525,315600,-318.6142
527,316800,-396.2132
529,318000,-366.4404
531,319200,-304.744
533,320400,-362.7845
535,321600,-245.2115
537,322800,-432.6099
539,324000,-189.1378
541,325200,-245.2607
543,326400,-436.1179
545,327600,-439.9934
547,328800,-241.8695
549,330000,-183.5477
551,331200,-506.3439
553,332400,-372.1242
555,333600,-620.5658
557,334800,-247.8268
559,336000,-548.071
561,337200,-248.3645
563,338400,-243.83
565,339600,-421.4224
567,340800,-498.0549
569,342000,-325.6965
571,343200,-437.944
573,344400,-492.0871
575,345600,-243.2847
577,346800,-436.4998
579,348000,-124.7074
581,349200,-434.5327
583,350400,-366.2368
585,351600,-1275.2276
587,352800,-187.1312
589,354000,-617.7986
591,355200,-375.5533
593,356400,-123.7315
595,357600,-365.3226
597,358800,-529.0977
599,360000,-64.2125
