episode,timestep,reward
1,1200,-3402.5631
3,2400,-3034.1134
5,3600,-3329.7371
7,4800,-3545.5777
9,6000,-3771.3196
11,7200,-3403.6532
13,8400,-3393.3104
15,9600,-3444.1405
17,10800,-3988.5224
19,12000,-3253.2909
21,13200,-4013.623
23,14400,-3196.1248
25,15600,-3329.8465
27,16800,-2990.6412
29,18000,-3404.0307
31,19200,-3641.9367
33,20400,-3181.9856
35,21600,-3331.1153
37,22800,-3114.1494
39,24000,-2850.8609
41,25200,-2672.3936
43,26400,-2576.9617
45,27600,-2671.4582
47,28800,-3286.4212
49,30000,-3188.8798
51,31200,-2949.6033
53,32400,-2910.1838
55,33600,-2818.2034
57,34800,-2524.0822
59,36000,-3009.5169
61,37200,-2542.8608
63,38400,-3513.8451
65,39600,-2602.6899
67,40800,-3142.2341
69,42000,-3492.2577
71,43200,-3473.3217
73,44400,-2761.4422
75,45600,-2774.1933
77,46800,-2993.2958
79,48000,-2900.4992
81,49200,-2765.6272
83,50400,-2577.7934
85,51600,-2918.4705
87,52800,-3208.3122
89,54000,-2396.8875
91,55200,-2819.3224
93,56400,-2752.4716
95,57600,-3145.2627
97,58800,-2546.7224
99,60000,-2568.4391
101,61200,-2945.9868
103,62400,-2531.4087
105,63600,-2498.2157
107,64800,-2251.0686
109,66000,-2685.182
111,67200,-2795.4808
113,68400,-2584.6642
115,69600,-2599.4428
117,70800,-2376.792
119,72000,-2407.1835
121,73200,-2262.9271
123,74400,-2483.6334
125,75600,-2288.2812
127,76800,-2412.5908
129,78000,-2486.9208
131,79200,-2798.1805
133,80400,-2401.4193
135,81600,-2469.7875
137,82800,-2473.9645
139,84000,-2271.1049
141,85200,-2568.2308
143,86400,-2207.5051
145,87600,-2542.6453
147,88800,-2501.3561
149,90000,-2559.119
151,91200,-2698.5055
153,92400,-2833.7086
155,93600,-2229.8583
157,94800,-2361.9897
159,96000,-2206.3717
161,97200,-2327.6068
163,98400,-2225.4402
165,99600,-2369.6216
167,100800,-2346.1714
169,102000,-2203.3695
171,103200,-2262.287
173,104400,-2446.6774
175,105600,-2364.388
177,106800,-2405.4806
179,108000,-2026.5159
181,109200,-2141.7847
183,110400,-2478.8207
185,111600,-2315.116
187,112800,-2254.6586
189,114000,-2178.6704
191,115200,-2131.6303
193,116400,-2320.8694
195,117600,-2060.8668
197,118800,-2060.3868
199,120000,-1999.8221
201,121200,-2160.8812
203,122400,-2003.585
205,123600,-2273.3644
207,124800,-2068.0714
209,126000,-2174.7844
211,127200,-2142.0332
213,128400,-1922.4236
215,129600,-2031.7934
217,130800,-2179.7635
219,132000,-2184.1965
221,133200,-2134.8335
223,134400,-2013.6008
225,135600,-2015.138
227,136800,-2283.7984
229,138000,-2208.2488
231,139200,-1862.1219
233,140400,-1992.8846
235,141600,-2190.5684
237,142800,-1895.3927
239,144000,-1704.5601
241,145200,-1666.701
243,146400,-1768.9631
245,147600,-1656.2049
247,148800,-1890.7305
249,150000,-1511.5737
251,151200,-1246.1148
253,152400,-1318.4684
255,153600,-1319.997
257,154800,-1239.5189
259,156000,-1067.279
261,157200,-819.9763
263,158400,-709.4084
265,159600,-696.8408
267,160800,-253.2695
269,162000,-626.5065
271,163200,-688.6455
273,164400,-307.5775
275,165600,-448.7691
277,166800,-700.7606
279,168000,-497.4988
281,169200,-311.8237
283,170400,-652.2712
285,171600,-636.7337
287,172800,-497.9397
289,174000,-582.7512
291,175200,-484.081
293,176400,-126.883
295,177600,-776.5125
297,178800,-640.7691
299,180000,-313.9313
301,181200,-253.6549
303,182400,-587.8901
305,183600,-246.5923
307,184800,-653.2038
309,186000,-190.0696
311,187200,-310.8143
