episode,timestep,reward
313,188400,-1085.5318
315,189600,-766.1046
317,190800,-503.6128
319,192000,-304.1759
321,193200,-65.0407
323,194400,-189.3906
325,195600,-336.234
327,196800,-310.6982
329,198000,-65.341
331,199200,-435.1187
333,200400,-253.6756
335,201600,-1018.2579
337,202800,-246.5078
339,204000,-686.3043
341,205200,-188.0937
343,206400,-250.4504
345,207600,-609.7726
347,208800,-243.401
349,210000,-929.489
351,211200,-386.2302
353,212400,-256.8408
355,213600,-944.9047
357,214800,-443.8269
359,216000,-370.0506
361,217200,-481.5856
363,218400,-382.607
365,219600,-188.1568
367,220800,-187.6921
369,222000,-1266.5464
371,223200,-127.0947
373,224400,-1150.9872
375,225600,-431.2433
377,226800,-749.9232
379,228000,-695.3822
381,229200,-651.3999
383,230400,-569.38
385,231600,-484.9815
387,232800,-371.0143
389,234000,-381.2181
391,235200,-753.4562
393,236400,-622.5398
395,237600,-186.7861
397,238800,-505.1343
399,240000,-127.531
401,241200,-188.8518
403,242400,-370.758
405,243600,-376.199
407,244800,-250.457
409,246000,-441.8203
411,247200,-308.7358
413,248400,-371.469
415,249600,-658.4191
417,250800,-380.4906
419,252000,-329.154
421,253200,-497.4035
423,254400,-446.4761
425,255600,-125.5928
427,256800,-1211.1705
429,258000,-464.8861
431,259200,-247.5441
433,260400,-247.8838
435,261600,-865.4258
437,262800,-307.0296
439,264000,-578.4537
441,265200,-124.5199
443,266400,-889.9029
445,267600,-247.4842
447,268800,-243.6538
449,270000,-436.1768
451,271200,-377.7797
453,272400,-501.9136
455,273600,-126.7077
457,274800,-410.2003
459,276000,-461.5747
461,277200,-601.8605
463,278400,-245.2154
465,279600,-318.9981
467,280800,-376.4043
469,282000,-514.0855
471,283200,-813.7188
473,284400,-1009.1962
475,285600,-379.1268
477,286800,-1201.8832
479,288000,-188.6785
481,289200,-753.2402
483,290400,-251.8771
485,291600,-373.2327
487,292800,-376.4501
489,294000,-185.1238
491,295200,-123.9755
493,296400,-125.5043
495,297600,-383.9913
497,298800,-392.1881
499,300000,-323.3588
501,301200,-382.4934
503,302400,-427.4097
505,303600,-438.1937
507,304800,-252.0278
509,306000,-373.1518
511,307200,-317.1026
513,308400,-438.6815
515,309600,-528.5471
517,310800,-312.4234
519,312000,-429.9742
521,313200,-124.8887
523,314400,-372.0875
525,315600,-309.2006
527,316800,-647.9247
529,318000,-945.7547
531,319200,-123.003
533,320400,-633.5743
535,321600,-313.3867
537,322800,-315.5252
539,324000,-313.4597
541,325200,-381.6872
543,326400,-315.1951
545,327600,-251.9648
547,328800,-127.128
549,330000,-496.9171
551,331200,-254.333
553,332400,-190.2026
555,333600,-360.5355
557,334800,-129.1978
559,336000,-623.0459
561,337200,-707.6848
563,338400,-250.3694
565,339600,-518.6134
567,340800,-498.734
569,342000,-186.3775
571,343200,-526.9034
573,344400,-387.573
575,345600,-434.2147
577,346800,-245.9282
579,348000,-249.0973
581,349200,-63.1105
583,350400,-860.1851
585,351600,-552.7437
587,352800,-675.2862
589,354000,-371.7191
591,355200,-579.2228
593,356400,-731.9764
595,357600,-520.0351
597,358800,-246.3516
599,360000,-562.9373
