[2025-09-15 13:20] Env=Pendulum-v1
Ep, Timestep, Update, Return, Avg_return, Actor_loss, Entropy, Critic_loss
300: 180000, 75, -988.701, -1639.200, 15.410, 1.550, 1352.717
304: 182400, 76, -238.929, -1620.776, 15.180, 1.538, 1346.202
308: 184800, 77, -1574.696, -1620.177, 15.040, 1.527, 1346.893
312: 187200, 78, -487.967, -1605.662, 14.853, 1.517, 1346.200
316: 189600, 79, -256.015, -1588.578, 14.631, 1.503, 1342.722
320: 192000, 80, -606.842, -1576.306, 14.400, 1.490, 1332.791
324: 194400, 81, -125.413, -1558.394, 14.162, 1.476, 1322.961
328: 196800, 82, -475.665, -1545.190, 13.954, 1.462, 1316.685
332: 199200, 83, -126.779, -1528.100, 13.782, 1.449, 1314.124
336: 201600, 84, -659.239, -1517.757, 13.633, 1.437, 1312.823
340: 204000, 85, -604.532, -1507.013, 13.541, 1.426, 1314.657
344: 206400, 86, -483.126, -1495.107, 13.426, 1.417, 1319.242
348: 208800, 87, -765.853, -1486.725, 13.342, 1.407, 1339.621
352: 211200, 88, -491.355, -1475.414, 13.210, 1.397, 1343.917
356: 213600, 89, -1487.798, -1475.553, 13.088, 1.387, 1334.339
360: 216000, 90, -720.165, -1467.160, 12.960, 1.379, 1334.044
364: 218400, 91, -600.777, -1457.639, 12.796, 1.371, 1327.907
368: 220800, 92, -245.108, -1444.460, 12.726, 1.364, 1335.716
372: 223200, 93, -124.214, -1430.263, 12.522, 1.354, 1323.771
376: 225600, 94, -0.719, -1415.056, 12.360, 1.344, 1315.984
380: 228000, 95, -500.083, -1405.424, 12.232, 1.337, 1305.335
384: 230400, 96, -1065.300, -1401.881, 12.134, 1.330, 1303.780
388: 232800, 97, -360.492, -1391.145, 12.016, 1.324, 1298.542
392: 235200, 98, -1050.058, -1387.665, 11.883, 1.318, 1292.917
396: 237600, 99, -607.209, -1379.781, 11.764, 1.311, 1286.379
400: 240000, 100, -738.329, -1373.367, 11.636, 1.304, 1278.725
404: 242400, 101, -1383.027, -1361.823, 11.037, 1.296, 1264.348
408: 244800, 102, -765.398, -1321.946, 10.172, 1.285, 1230.569
412: 247200, 103, -125.004, -1285.008, 9.179, 1.270, 1179.508
416: 249600, 104, -619.233, -1262.293, 8.286, 1.257, 1132.298
420: 252000, 105, -617.533, -1237.958, 7.615, 1.246, 1115.499
424: 254400, 106, -886.470, -1210.437, 6.900, 1.231, 1086.468
428: 256800, 107, -123.349, -1175.438, 6.173, 1.213, 1057.298
432: 259200, 108, -476.516, -1146.545, 5.432, 1.194, 1032.482
436: 261600, 109, -241.225, -1119.547, 4.666, 1.174, 1002.673
440: 264000, 110, -625.876, -1095.421, 4.107, 1.154, 988.072
444: 266400, 111, -475.016, -1063.856, 3.545, 1.134, 981.337
448: 268800, 112, -253.068, -1033.628, 2.996, 1.113, 964.596
452: 271200, 113, -684.451, -1010.387, 2.513, 1.095, 967.353
456: 273600, 114, -484.807, -987.966, 2.005, 1.078, 957.463
460: 276000, 115, -125.275, -957.418, 1.540, 1.060, 953.946
