[2025-09-16 18:56] Env=Pendulum-v1
Ep, Timestep, Update, Ep_return, Avg_return, Actor_loss, Entropy, Critic_loss
1: 600, 1, -4001.933, -4001.933, 102.985, 1.759, 10822.786
2: 1200, 2, -4194.015, -4097.974, 107.490, 1.437, 10900.671
3: 1800, 3, -4326.865, -4174.271, 109.414, 1.401, 11487.682
4: 2400, 4, -3950.076, -4118.222, 108.408, 1.532, 10772.036
5: 3000, 5, -4068.906, -4108.359, 108.459, 1.558, 10651.189
6: 3600, 6, -3852.729, -4065.754, 106.959, 1.630, 10540.588
7: 4200, 7, -4089.115, -4069.091, 106.634, 1.717, 10612.231
8: 4800, 8, -3789.089, -4034.091, 105.390, 1.796, 10487.802
9: 5400, 9, -3658.151, -3992.320, 104.039, 1.866, 10289.438
10: 6000, 10, -3762.336, -3969.322, 103.232, 1.921, 10175.939
11: 6600, 11, -3504.106, -3927.029, 101.837, 1.966, 9959.482
12: 7200, 12, -3491.912, -3890.769, 100.632, 2.003, 9777.338
13: 7800, 13, -2892.709, -3813.996, 98.311, 2.035, 9435.491
14: 8400, 14, -3395.208, -3784.082, 97.333, 2.063, 9278.870
15: 9000, 15, -3544.970, -3768.141, 96.600, 2.087, 9165.256
16: 9600, 16, -2965.989, -3718.007, 94.975, 2.107, 8920.886
17: 10200, 17, -4576.266, -3768.493, 96.100, 2.126, 9134.426
18: 10800, 18, -3253.451, -3739.879, 95.063, 2.142, 8967.239
19: 11400, 19, -3273.764, -3715.347, 94.101, 2.157, 8805.314
20: 12000, 20, -3190.149, -3689.087, 93.111, 2.170, 8641.133
21: 12600, 21, -2869.353, -3650.052, 91.824, 2.182, 8453.115
22: 13200, 22, -5109.402, -3716.386, 93.363, 2.192, 8754.684
23: 13800, 23, -3350.484, -3700.477, 92.611, 2.202, 8638.185
24: 14400, 24, -3372.908, -3686.829, 91.958, 2.211, 8533.914
25: 15000, 25, -3017.685, -3660.063, 90.924, 2.219, 8375.630
26: 15600, 26, -2925.594, -3631.814, 89.865, 2.227, 8216.582
27: 16200, 27, -2854.707, -3603.032, 88.795, 2.234, 8062.552
28: 16800, 28, -3330.624, -3593.303, 88.257, 2.241, 7968.146
29: 17400, 29, -3952.104, -3605.676, 88.304, 2.247, 7963.938
30: 18000, 30, -3615.492, -3606.003, 88.053, 2.253, 7919.483
31: 18600, 31, -3084.732, -3589.188, 87.312, 2.258, 7808.001
32: 19200, 32, -2862.404, -3566.476, 86.443, 2.263, 7686.687
33: 19800, 33, -3616.936, -3568.005, 86.243, 2.268, 7648.442
34: 20400, 34, -3826.896, -3575.619, 86.131, 2.272, 7621.372
35: 21000, 35, -3434.402, -3571.585, 85.799, 2.276, 7567.623
36: 21600, 36, -4341.686, -3592.976, 86.091, 2.280, 7614.743
37: 22200, 37, -3920.614, -3601.831, 86.013, 2.284, 7597.588
38: 22800, 38, -3792.218, -3606.842, 85.877, 2.288, 7569.111
39: 23400, 39, -4105.740, -3619.634, 85.922, 2.291, 7569.304
40: 24000, 40, -3970.531, -3628.406, 85.883, 2.294, 7553.065
41: 24600, 41, -4059.967, -3638.932, 85.915, 2.297, 7545.585
42: 25200, 42, -4035.142, -3648.366, 85.904, 2.300, 7533.530
43: 25800, 43, -3966.414, -3655.762, 85.827, 2.303, 7512.675
44: 26400, 44, -4126.612, -3666.463, 85.844, 2.305, 7510.510
45: 27000, 45, -4136.993, -3676.920, 85.835, 2.307, 7507.597
46: 27600, 46, -3610.049, -3675.466, 85.536, 2.310, 7464.909
47: 28200, 47, -4041.510, -3683.254, 85.489, 2.312, 7452.233
48: 28800, 48, -3960.473, -3689.029, 85.320, 2.314, 7423.285
49: 29400, 49, -3801.719, -3691.329, 85.073, 2.315, 7384.135
50: 30000, 50, -4300.901, -3703.521, 85.112, 2.317, 7382.836
51: 30600, 51, -4106.928, -3711.431, 85.039, 2.319, 7362.714
52: 31200, 52, -4040.010, -3717.749, 84.960, 2.321, 7345.939
53: 31800, 53, -3899.979, -3721.188, 84.765, 2.323, 7311.452
54: 32400, 54, -4072.710, -3727.697, 84.652, 2.325, 7286.654
55: 33000, 55, -4069.238, -3733.907, 84.515, 2.327, 7259.423
56: 33600, 56, -3832.153, -3735.662, 84.229, 2.328, 7218.880
57: 34200, 57, -4146.191, -3742.864, 84.145, 2.330, 7198.832
58: 34800, 58, -4153.252, -3749.940, 84.052, 2.331, 7179.503
59: 35400, 59, -4016.880, -3754.464, 83.882, 2.333, 7148.890
60: 36000, 60, -4158.664, -3761.201, 83.752, 2.334, 7127.905
61: 36600, 61, -3431.015, -3755.788, 83.290, 2.336, 7070.612
62: 37200, 62, -4041.193, -3760.391, 83.103, 2.337, 7037.275
63: 37800, 63, -3505.490, -3756.345, 82.694, 2.338, 6984.157
64: 38400, 64, -3976.718, -3759.788, 82.480, 2.340, 6950.897
65: 39000, 65, -3433.842, -3754.774, 82.047, 2.341, 6894.043
66: 39600, 66, -3947.866, -3757.699, 81.830, 2.342, 6858.688
67: 40200, 67, -4772.247, -3772.842, 81.949, 2.343, 6870.076
68: 40800, 68, -3298.679, -3765.869, 81.439, 2.344, 6810.784
69: 41400, 69, -3452.430, -3761.326, 81.010, 2.345, 6754.214
70: 42000, 70, -3647.776, -3759.704, 80.686, 2.346, 6707.978
71: 42600, 71, -4982.311, -3776.924, 80.882, 2.347, 6732.828
72: 43200, 72, -3623.488, -3774.793, 80.533, 2.348, 6685.945
73: 43800, 73, -3785.000, -3774.933, 80.242, 2.349, 6644.568
74: 44400, 74, -3629.576, -3772.968, 79.894, 2.350, 6599.216
75: 45000, 75, -5346.617, -3793.950, 80.171, 2.351, 6636.414
76: 45600, 76, -4221.206, -3799.572, 80.043, 2.352, 6620.701
77: 46200, 77, -5225.987, -3818.097, 80.258, 2.353, 6649.422
78: 46800, 78, -4722.276, -3829.689, 80.273, 2.354, 6644.382
79: 47400, 79, -3263.000, -3822.516, 79.775, 2.355, 6586.734
80: 48000, 80, -4386.863, -3829.570, 79.659, 2.355, 6573.700
81: 48600, 81, -3218.914, -3822.031, 79.156, 2.356, 6515.323
82: 49200, 82, -3604.671, -3819.381, 78.781, 2.357, 6467.323
83: 49800, 83, -3362.962, -3813.881, 78.335, 2.358, 6415.045
84: 50400, 84, -3297.900, -3807.739, 77.897, 2.358, 6364.595
85: 51000, 85, -5234.219, -3824.521, 78.067, 2.359, 6382.627
86: 51600, 86, -3073.261, -3815.785, 77.528, 2.360, 6327.188
87: 52200, 87, -5317.246, -3833.044, 77.710, 2.361, 6347.575
88: 52800, 88, -3060.825, -3824.268, 77.179, 2.361, 6291.109
89: 53400, 89, -3011.429, -3815.135, 76.637, 2.362, 6235.715
90: 54000, 90, -2887.109, -3804.824, 76.077, 2.362, 6179.339
