[2025-09-16 18:21] Env=Pendulum-v1
Ep, Timestep, Update, Return, Avg_return, Actor_loss, Entropy, Critic_loss
74: 44400, 74, -3144.855, -3920.529, 84.599, 2.366, 8169.174
75: 45000, 75, -3927.870, -3920.627, 84.337, 2.367, 8122.085
76: 45600, 76, -3255.740, -3911.878, 83.840, 2.367, 8045.103
77: 46200, 77, -3287.736, -3903.773, 83.351, 2.368, 7975.234
78: 46800, 78, -3210.266, -3894.881, 82.838, 2.369, 7902.588
79: 47400, 79, -3128.432, -3885.180, 82.321, 2.369, 7829.966
80: 48000, 80, -3310.656, -3877.998, 81.870, 2.370, 7762.067
81: 48600, 81, -3342.305, -3871.385, 81.439, 2.370, 7694.818
82: 49200, 82, -3248.752, -3863.791, 80.983, 2.371, 7627.670
83: 49800, 83, -3267.404, -3856.606, 80.536, 2.372, 7560.622
84: 50400, 84, -3029.485, -3846.759, 80.017, 2.372, 7490.300
85: 51000, 85, -2995.830, -3836.748, 79.509, 2.373, 7423.195
86: 51600, 86, -3117.251, -3828.382, 79.026, 2.373, 7359.763
87: 52200, 87, -3331.411, -3822.670, 78.624, 2.374, 7298.892
88: 52800, 88, -3023.855, -3813.592, 78.131, 2.374, 7232.990
89: 53400, 89, -2963.299, -3804.039, 77.631, 2.375, 7169.401
90: 54000, 90, -3420.669, -3799.779, 77.279, 2.375, 7113.966
91: 54600, 91, -3112.565, -3792.227, 76.827, 2.376, 7053.029
92: 55200, 92, -4498.023, -3799.899, 76.802, 2.376, 7034.165
93: 55800, 93, -2868.591, -3789.885, 76.280, 2.377, 6971.116
94: 56400, 94, -3631.078, -3788.195, 75.977, 2.377, 6924.934
95: 57000, 95, -3183.369, -3781.829, 75.545, 2.377, 6867.970
96: 57600, 96, -3094.626, -3774.670, 75.105, 2.377, 6811.747
97: 58200, 97, -2823.111, -3764.860, 74.583, 2.377, 6752.979
98: 58800, 98, -3772.341, -3764.937, 74.351, 2.377, 6710.339
99: 59400, 99, -3261.607, -3759.853, 73.981, 2.378, 6658.151
100: 60000, 100, -3036.551, -3752.620, 73.540, 2.378, 6604.617
101: 60600, 101, -4086.386, -3740.487, 72.713, 2.387, 6440.603
102: 61200, 102, -2903.237, -3714.947, 71.525, 2.394, 6244.478
103: 61800, 103, -4500.860, -3705.057, 70.744, 2.401, 6080.005
104: 62400, 104, -4614.909, -3720.019, 70.646, 2.407, 6066.073
105: 63000, 105, -2567.892, -3716.317, 70.047, 2.411, 6013.846
106: 63600, 106, -2758.098, -3710.790, 69.388, 2.414, 5946.550
107: 64200, 107, -3005.751, -3710.707, 68.888, 2.415, 5895.176
