episode, timestep, update_iters, epi_return, avg_turn
1, 600, 0, -4919.080158734672, 0
2, 1200, 0, -4073.8669778404897, -4919.080158734672
3, 1800, 0, -3955.6838669882573, -4496.473568287581
4, 2400, 1, -4784.659211518038, -4316.21033452114
5, 3000, 1, -4075.085968567012, -4433.322553770365
6, 3600, 1, -4115.989208362604, -4361.675236729694
7, 4200, 1, -4793.362745926036, -4320.727565335179
8, 4800, 2, -4011.8749066098158, -4388.2468768481585
9, 5400, 2, -4389.082177892345, -4341.200380568365
10, 6000, 2, -3413.0001112205646, -4346.52058027103
11, 6600, 2, -4623.983373933624, -4253.1685333659825
12, 7200, 3, -4034.2230818272023, -4286.878973417587
13, 7800, 3, -4333.151757453961, -4265.824315785055
14, 8400, 3, -3624.0802172721214, -4271.003349759586
15, 9000, 3, -3435.7973211020485, -4224.79455458191
16, 9600, 4, -2975.873977526243, -4172.194739016586
17, 10200, 4, -3782.8198834672594, -4097.424691423439
18, 10800, 4, -3139.276130511361, -4078.9185262495466
19, 11400, 4, -3003.143672113929, -4026.716170930759
20, 12000, 5, -3398.955502400345, -3972.8439341509256
21, 12600, 5, -3240.6167984396175, -3944.149512563397
22, 13200, 5, -3398.86262018459, -3910.647954747979
23, 13800, 5, -3172.3550115126386, -3887.3849849950975
24, 14400, 6, -3102.431562922515, -3856.2967252784692
25, 15000, 6, -3877.9675908670492, -3824.8856768469705
26, 15600, 6, -3039.4804240885423, -3827.0089534077733
27, 16200, 6, -3614.3633593705226, -3796.719394587803
28, 16800, 7, -3188.497655391771, -3789.9654673575333
29, 17400, 7, -3632.2046310261962, -3768.4844740730414
30, 18000, 7, -3235.57733225975, -3763.7851691403916
31, 18600, 7, -2837.7069443740297, -3746.1782412443704
32, 19200, 8, -3058.189296158413, -3716.8727155388756
33, 19800, 8, -3070.9262611685385, -3696.2888586832364
34, 20400, 8, -4311.045215605757, -3677.338476940367
35, 21000, 8, -3160.017894125329, -3695.9769104305255
36, 21600, 9, -2918.6701272312716, -3680.663795678948
37, 22200, 9, -3012.35162489587, -3659.497304888735
38, 22800, 9, -3763.982842769182, -3642.006881105144
39, 23400, 9, -2772.87701994727, -3645.216774833145
40, 24000, 10, -3199.59355778541, -3622.8490888104307
41, 24600, 10, -3307.772808935993, -3612.267700534804
42, 25200, 10, -3090.6588346579756, -3604.8409958616626
43, 25800, 10, -3207.329635489933, -3592.598563452051
44, 26400, 11, -3661.7748881241682, -3583.638820941304
45, 27000, 11, -3186.3121601556854, -3585.414640650006
46, 27600, 11, -3259.40033884772, -3576.5456966390207
47, 28200, 11, -3171.011126363857, -3569.6512323392094
48, 28800, 12, -3171.412075656296, -3561.1695279567552
49, 29400, 12, -3683.7006196748425, -3553.0495810338302
50, 30000, 12, -2832.1251756773495, -3555.7159287611976
51, 30600, 12, -2804.96697992404, -3541.2441136995208
52, 31200, 13, -3774.6931651503487, -3526.8073071549034
53, 31800, 13, -3770.9914251022838, -3531.5743428855853
54, 32400, 13, -3020.644099538238, -3536.0916463236363
55, 33000, 13, -3496.606165385185, -3526.546321383166
56, 33600, 14, -2931.4132541793483, -3526.0019549104754
57, 34200, 14, -2578.074815869068, -3515.384299540276
58, 34800, 14, -3537.8967330111436, -3498.9402735109566
59, 35400, 14, -2906.04473491628, -3499.6119366057874
60, 36000, 15, -2979.560541911561, -3489.551475560202
61, 36600, 15, -3261.0125829958656, -3481.0516266660584
62, 37200, 15, -3172.073326372176, -3477.444429228842
63, 37800, 15, -3190.19291678886, -3472.519088860186
