[09-08 22:22] env=Combat, num_actor=2
Ep, Total_reward(last50), Ep_Length(last50), Actor_Loss(last50), Critic_Loss(last50), Avg_Entropy(last50)
4750: -0.740, 76.820, -0.130, 0.020, 0.857
4800: -1.060, 71.460, -0.130, 0.022, 0.866
4850: -1.120, 66.120, -0.089, 0.026, 0.858
4900: -1.020, 66.240, -0.085, 0.021, 0.841
4950: -1.320, 65.000, -0.053, 0.029, 0.879
Model saved at episode 5000
5000: -0.820, 71.020, -0.129, 0.024, 0.853
5050: -0.980, 68.280, -0.052, 0.022, 0.872
5100: -1.120, 61.860, -0.102, 0.025, 0.823
5150: -1.180, 51.400, -0.065, 0.034, 0.883
5200: -0.800, 65.600, -0.025, 0.023, 0.856
5250: -0.800, 69.600, -0.020, 0.021, 0.843
5300: -0.780, 77.760, -0.114, 0.014, 0.801
5350: -0.860, 70.860, -0.036, 0.021, 0.773
5400: -0.800, 77.480, -0.050, 0.019, 0.752
5450: -1.060, 68.700, -0.044, 0.025, 0.736
Model saved at episode 5500
5500: -1.100, 72.760, -0.154, 0.019, 0.758
5550: -1.240, 59.200, -0.081, 0.032, 0.817
5600: -0.760, 71.680, -0.085, 0.018, 0.806
5650: -0.960, 65.180, -0.036, 0.019, 0.796
5700: -1.220, 63.260, -0.041, 0.027, 0.784
5750: -1.160, 62.920, -0.110, 0.023, 0.857
5800: -0.800, 69.780, -0.099, 0.018, 0.800
5850: -1.380, 64.300, -0.002, 0.025, 0.821
5900: -0.820, 73.060, -0.072, 0.017, 0.815
5950: -1.460, 59.640, -0.026, 0.024, 0.830
Model saved at episode 6000
6000: -0.900, 68.080, -0.108, 0.023, 0.792
6050: -1.140, 64.980, -0.044, 0.021, 0.818
6100: -0.660, 72.020, -0.105, 0.021, 0.823
6150: -0.840, 74.440, -0.078, 0.017, 0.843
6200: -0.940, 68.460, -0.070, 0.019, 0.778
6250: -0.820, 74.520, -0.052, 0.014, 0.765
6300: -0.920, 65.840, -0.017, 0.020, 0.750
6350: -0.940, 66.640, -0.013, 0.019, 0.819
6400: -0.740, 70.680, -0.056, 0.017, 0.813
6450: -0.980, 70.580, -0.067, 0.023, 0.847
Model saved at episode 6500
6500: -0.960, 71.860, -0.140, 0.021, 0.837
6550: -0.840, 70.900, -0.067, 0.022, 0.850
6600: -1.260, 62.980, 0.028, 0.026, 0.886
6650: -1.020, 67.140, -0.117, 0.022, 0.864
6700: -0.560, 65.180, -0.060, 0.027, 0.835
6750: -0.760, 75.320, -0.055, 0.019, 0.809
6800: -0.840, 73.280, -0.009, 0.016, 0.776
6850: -0.900, 63.000, -0.010, 0.022, 0.796
6900: -0.860, 71.040, -0.044, 0.018, 0.807
6950: -0.560, 69.880, -0.119, 0.019, 0.814
Model saved at episode 7000
7000: -0.780, 68.820, -0.031, 0.016, 0.834
7050: -0.820, 75.780, -0.081, 0.015, 0.790
7100: -0.880, 63.080, -0.051, 0.025, 0.777
7150: -0.920, 73.000, 0.008, 0.013, 0.745
7200: -0.720, 65.220, -0.120, 0.027, 0.748
7250: -0.540, 68.720, -0.070, 0.018, 0.737
7300: -0.660, 74.560, 0.004, 0.025, 0.736
7350: -0.840, 67.620, 0.002, 0.025, 0.745
7400: -0.760, 78.140, -0.131, 0.019, 0.753
7450: -0.480, 71.980, -0.076, 0.016, 0.774
Model saved at episode 7500
7500: -0.600, 75.940, 0.005, 0.017, 0.698
7550: -0.480, 74.200, -0.087, 0.013, 0.768
7600: -0.780, 72.460, -0.065, 0.024, 0.781
7650: -0.720, 67.860, -0.062, 0.024, 0.816
7700: -0.720, 68.780, -0.035, 0.017, 0.795
7750: -0.760, 63.780, -0.031, 0.021, 0.766
7800: -0.540, 67.680, -0.120, 0.019, 0.761
7850: -0.900, 61.540, -0.023, 0.023, 0.763
7900: -1.240, 62.640, -0.040, 0.018, 0.732
7950: -0.860, 73.420, -0.062, 0.018, 0.677
Model saved at episode 8000
8000: -0.520, 69.420, -0.120, 0.020, 0.744
8050: -0.660, 76.060, -0.041, 0.016, 0.736
8100: -0.600, 73.300, -0.068, 0.014, 0.723
8150: -0.760, 65.600, -0.044, 0.018, 0.759
8200: -0.900, 54.660, 0.004, 0.025, 0.785
8250: -0.580, 69.660, -0.041, 0.015, 0.732
8300: -0.700, 57.780, -0.035, 0.031, 0.739
8350: -0.600, 70.500, -0.022, 0.018, 0.716
8400: -0.520, 72.800, -0.093, 0.018, 0.709
8450: -0.520, 74.080, -0.062, 0.015, 0.685
Model saved at episode 8500
8500: -0.640, 73.800, -0.029, 0.015, 0.767
8550: -0.880, 60.160, -0.049, 0.026, 0.832
8600: -0.840, 60.100, -0.077, 0.032, 0.729
8650: -0.400, 74.940, -0.046, 0.022, 0.735
8700: -0.680, 61.380, 0.003, 0.024, 0.759
8750: -0.640, 71.660, -0.003, 0.017, 0.657
8800: -0.700, 66.080, -0.019, 0.024, 0.780
8850: -0.700, 62.360, -0.065, 0.030, 0.803
8900: -0.760, 64.060, 0.013, 0.019, 0.763
8950: -0.500, 70.960, -0.084, 0.013, 0.708
Model saved at episode 9000
9000: -0.420, 63.980, -0.080, 0.017, 0.761
9050: -0.480, 66.620, -0.035, 0.019, 0.697
9100: -0.480, 76.920, -0.056, 0.014, 0.645
9150: -0.820, 63.020, 0.001, 0.032, 0.708
9200: -0.300, 68.120, -0.073, 0.020, 0.651
9250: -0.700, 62.480, 0.043, 0.023, 0.737
9300: -0.720, 64.580, -0.050, 0.022, 0.739
9350: -0.500, 67.960, -0.071, 0.022, 0.681
9400: -0.740, 63.220, 0.018, 0.018, 0.668
9450: -0.340, 72.020, -0.079, 0.017, 0.606
Model saved at episode 9500
9500: -0.520, 65.260, -0.019, 0.018, 0.636
9550: -0.580, 61.540, -0.010, 0.022, 0.622
9600: -0.560, 75.740, -0.059, 0.014, 0.620
9650: -0.460, 67.860, -0.095, 0.014, 0.647
9700: -0.560, 74.780, 0.002, 0.014, 0.567
9750: -0.620, 69.080, -0.004, 0.020, 0.542
9800: -0.740, 66.160, -0.032, 0.020, 0.595
9850: -0.640, 67.380, -0.034, 0.017, 0.673
9900: -0.740, 69.060, -0.032, 0.022, 0.662
9950: -0.160, 71.680, -0.166, 0.015, 0.646
Model saved at episode 10000
10000: -0.660, 65.200, 0.004, 0.012, 0.677
