[2025-11-23 17:03]
Episode, Timestep, Update, Avg_reward
80: 2048, 1, 23.400 
145: 4096, 2, 32.600 
176: 6144, 3, 63.900 
185: 8192, 4, 203.900 
194: 10240, 5, 228.300 
201: 12288, 6, 252.800 
210: 14336, 7, 258.800 
215: 16384, 8, 311.100 
220: 18432, 9, 385.800 
226: 20480, 10, 376.900 
230: 22528, 11, 404.500 
235: 24576, 12, 442.700 
239: 26624, 13, 474.900 
243: 28672, 14, 491.300 
247: 30720, 15, 494.800 
251: 32768, 16, 494.800 
255: 34816, 17, 500.000 
259: 36864, 18, 500.000 
263: 38912, 19, 500.000 
267: 40960, 20, 500.000 
272: 43008, 21, 500.000 
276: 45056, 22, 500.000 
280: 47104, 23, 500.000 
284: 49152, 24, 500.000 
288: 51200, 25, 500.000 
292: 53248, 26, 500.000 
296: 55296, 27, 500.000 
300: 57344, 28, 500.000 
304: 59392, 29, 500.000 
308: 61440, 30, 500.000 
313: 63488, 31, 500.000 
317: 65536, 32, 500.000 
321: 67584, 33, 500.000 
325: 69632, 34, 500.000 
329: 71680, 35, 500.000 
333: 73728, 36, 500.000 
337: 75776, 37, 500.000 
341: 77824, 38, 500.000 
345: 79872, 39, 500.000 
349: 81920, 40, 500.000 
354: 83968, 41, 500.000 
358: 86016, 42, 500.000 
362: 88064, 43, 500.000 
366: 90112, 44, 500.000 
370: 92160, 45, 500.000 
376: 94208, 46, 408.400 
385: 96256, 47, 253.200 
393: 98304, 48, 226.000 
397: 100352, 49, 319.200 
401: 102400, 50, 425.100 
406: 104448, 51, 440.700 
411: 106496, 52, 418.900 
415: 108544, 53, 445.900 
419: 110592, 54, 471.300 
424: 112640, 55, 500.000 
428: 114688, 56, 500.000 
432: 116736, 57, 500.000 
436: 118784, 58, 500.000 
440: 120832, 59, 500.000 
444: 122880, 60, 500.000 
448: 124928, 61, 500.000 
452: 126976, 62, 500.000 
456: 129024, 63, 500.000 
460: 131072, 64, 500.000 
464: 133120, 65, 500.000 
469: 135168, 66, 500.000 
473: 137216, 67, 500.000 
477: 139264, 68, 500.000 
481: 141312, 69, 500.000 
485: 143360, 70, 500.000 
489: 145408, 71, 500.000 
494: 147456, 72, 462.300 
499: 149504, 73, 434.000 
