episode, timestep, update_iters, epi_return, avg_turn
1, 600, 1, -3373.5580093078706, -3373.5580093078706
2, 1200, 2, -3440.538456183475, -3407.048232745673
3, 1800, 3, -3167.3996933178805, -3327.165386269742
4, 2400, 4, -3024.002672298779, -3251.3747077770013
5, 3000, 5, -3752.9132880636007, -3351.6824238343206
6, 3600, 6, -3024.5110126772192, -3297.1538553081373
7, 4200, 7, -4836.0327333477435, -3516.993695028081
8, 4800, 8, -2957.785053084705, -3447.092614785159
9, 5400, 9, -4445.50035600132, -3558.0268082536218
10, 6000, 10, -3629.914970924522, -3565.2156245207116
11, 6600, 11, -3321.3477449567135, -3543.045817287621
12, 7200, 12, -3218.8183153622526, -3516.0268587938403
13, 7800, 13, -3154.6625181662657, -3488.2296018224883
14, 8400, 14, -3494.022146819307, -3488.643355036547
15, 9000, 15, -3480.968070789499, -3488.1316694200773
16, 9600, 16, -3069.594305502752, -3461.9730841752444
17, 10200, 17, -3471.5857911140056, -3462.5385375245833
18, 10800, 18, -4100.510104002117, -3497.981402328891
19, 11400, 19, -4915.5460245020195, -3572.590066653792
20, 12000, 20, -3728.7955687733447, -3580.4003417597696
21, 12600, 21, -4750.498072672028, -3636.11928132702
22, 13200, 22, -4235.8354512144, -3663.379107230992
23, 13800, 23, -4785.699799121962, -3712.1756590523387
24, 14400, 24, -3429.0016296096655, -3700.3767411588938
25, 15000, 25, -3261.9247569770578, -3682.83866179162
26, 15600, 26, -3243.6204319001286, -3665.945652949639
27, 16200, 27, -4231.715133316293, -3686.900078148404
28, 16800, 28, -4822.127081944328, -3727.4438997125444
29, 17400, 29, -3312.901652118276, -3713.1493394506733
30, 18000, 30, -3097.608875057374, -3692.6313239708966
31, 18600, 31, -3514.79744752245, -3686.894747311269
32, 19200, 32, -3043.147332007707, -3666.7776405830336
33, 19800, 33, -3841.4283710598297, -3672.0700869611182
34, 20400, 34, -2685.4152861439334, -3643.050828113554
35, 21000, 35, -5087.454147583923, -3684.319494384136
36, 21600, 36, -3542.0395302307647, -3680.3672731576535
37, 22200, 37, -3299.364168476675, -3670.0698919500587
38, 22800, 38, -3135.6928991612417, -3656.007339508248
39, 23400, 39, -3006.9712821536127, -3639.365389319668
40, 24000, 40, -4085.9973497097767, -3650.53118832942
41, 24600, 41, -3242.939973682674, -3640.589939191694
42, 25200, 42, -3910.768865940828, -3647.022770780959
43, 25800, 43, -2636.497432376678, -3623.522181515743
44, 26400, 44, -4455.09156682803, -3642.4214857273855
45, 27000, 45, -4451.828589748042, -3660.408310261178
46, 27600, 46, -2769.729100317742, -3641.0457187406687
47, 28200, 47, -3793.741493676232, -3644.2945650158936
48, 28800, 48, -3377.6582104390636, -3638.739640962211
49, 29400, 49, -4852.358014229836, -3663.507362865632
50, 30000, 50, -3086.6474937262446, -3651.9701654828445
51, 30600, 51, -3314.832747668016, -3645.359627878632
52, 31200, 52, -4355.950214882189, -3659.024831474854
53, 31800, 53, -4494.06260090597, -3674.7802610867625
54, 32400, 54, -5402.226720588546, -3706.770010336795
55, 33000, 55, -3361.928988650724, -3700.500173578867
56, 33600, 56, -2816.488431485028, -3684.714249612905
57, 34200, 57, -4338.184804348692, -3696.178645310024
58, 34800, 58, -3189.784735392767, -3687.447715828692
59, 35400, 59, -5484.685759155873, -3717.90937758
60, 36000, 60, -3481.3167974210355, -3713.966167910684
61, 36600, 61, -2827.645120585301, -3699.4363146758415
62, 37200, 62, -5493.564623778769, -3728.3738680484694
63, 37800, 63, -3377.6948100558748, -3722.8075337946184
64, 38400, 64, -3008.25071352555, -3711.6425834779147
65, 39000, 65, -3036.44903823069, -3701.2549904741113
66, 39600, 66, -3112.3091925673893, -3692.3315692937067
67, 40200, 67, -3374.827041215092, -3687.5926957402944
68, 40800, 68, -4506.491732037062, -3699.635328627012
69, 41400, 69, -3624.8977337427236, -3698.552175077964
70, 42000, 70, -4883.225910094247, -3715.4760855781965
71, 42600, 71, -4203.261572004018, -3722.3463036968706
72, 43200, 72, -2979.032561603094, -3712.0225017233442
73, 43800, 73, -2863.0951741528756, -3700.3933602497764
74, 44400, 74, -4579.757531180952, -3712.2766598569547
75, 45000, 75, -4949.966723669251, -3728.779194041119
76, 45600, 76, -5249.496787022654, -3748.7886360540333
77, 46200, 77, -2907.4852843425506, -3737.8626184993386
78, 46800, 78, -2669.3080281852326, -3724.1632006747986
79, 47400, 79, -2847.101212535138, -3713.061150192018
80, 48000, 80, -4949.695953637249, -3728.5190852350847
81, 48600, 81, -5006.964512356511, -3744.302362113127
82, 49200, 82, -2640.804854512196, -3730.845075435067
83, 49800, 83, -3482.21710630111, -3727.8495577346575
84, 50400, 84, -4306.60282566797, -3734.739477591006
85, 51000, 85, -3181.5596618255886, -3728.2314797584722
86, 51600, 86, -3044.0328486248604, -3720.2756817220347
87, 52200, 87, -2758.5244232285645, -3709.221069555443
88, 52800, 88, -5304.613199456369, -3727.3505255770447
89, 53400, 89, -3114.0219580855555, -3720.459193358039
90, 54000, 90, -2793.6655038054005, -3710.161485696343
91, 54600, 91, -4096.005342794642, -3714.401528082038
92, 55200, 92, -4845.023430092041, -3726.6908965821467
93, 55800, 93, -2617.8182102025175, -3714.767534363011
94, 56400, 94, -3472.331826319557, -3712.188431085953
95, 57000, 95, -2793.64169232258, -3702.5195180463384
96, 57600, 96, -2969.4845885429877, -3694.8837375306794
97, 58200, 97, -4922.846022926507, -3707.54314253476
98, 58800, 98, -4488.784880851594, -3715.5149970073803
99, 59400, 99, -4902.27815745079, -3727.502503678526
100, 60000, 100, -3093.0145494736553, -3721.1576241364774
101, 60600, 101, -2643.51921989358, -3713.857236242334
102, 61200, 102, -2913.59022306543, -3708.5877539111534
