episode, timestep, update_iters, epi_return, avg_turn
1, 600, 1, -2701.555932139171, -2701.555932139171
2, 1200, 2, -2934.4005410269015, -2817.978236583036
3, 1800, 3, -5107.642356528386, -3581.1996098981526
4, 2400, 4, -3510.7604662781578, -3563.589823993154
5, 3000, 5, -3682.774900494317, -3587.426839293387
6, 3600, 6, -3818.723049339047, -3625.97620763433
7, 4200, 7, -3653.7945420056963, -3629.950255401668
8, 4800, 8, -3651.821027935919, -3632.6841019684493
9, 5400, 9, -3482.2882541979498, -3615.9734522161716
10, 6000, 10, -4523.317186236933, -3706.7078256182476
11, 6600, 11, -3023.108314995989, -3644.5624155616783
12, 7200, 12, -4076.605035995971, -3680.565967264536
13, 7800, 13, -3697.872635233856, -3681.897249416022
14, 8400, 14, -4744.706673418963, -3757.8122082733753
15, 9000, 15, -3348.123419396522, -3730.4996223482517
16, 9600, 16, -3880.925659616726, -3739.9012496775313
17, 10200, 17, -3352.7581410483103, -3717.128125640518
18, 10800, 18, -2928.6236296111547, -3673.322320305554
19, 11400, 19, -2993.872886808266, -3637.561823805697
20, 12000, 20, -3039.1461374064097, -3607.6410394857326
21, 12600, 21, -3162.7462457201345, -3586.455573115942
22, 13200, 22, -3275.690589832463, -3572.329892057602
23, 13800, 23, -3866.04196514494, -3585.099982191834
24, 14400, 24, -3276.2295227837835, -3572.2303797164986
25, 15000, 25, -3104.622995626066, -3553.5260843528813
26, 15600, 26, -3471.150094037402, -3550.357777033055
27, 16200, 27, -3327.247824861263, -3542.0944454711366
28, 16800, 28, -3326.259482315424, -3534.386053929861
29, 17400, 29, -3155.6568774578873, -3521.3264271549656
30, 18000, 30, -3413.5111997301988, -3517.7325862408065
31, 18600, 31, -3297.248396333586, -3510.620193017993
32, 19200, 32, -2955.852470312486, -3493.2837016834465
33, 19800, 33, -3075.1857557285593, -3480.6140669575407
34, 20400, 34, -4127.074643544469, -3499.6276133277447
35, 21000, 35, -3076.2122530483393, -3487.530031605476
36, 21600, 36, -3061.912002333234, -3475.707308570136
37, 22200, 37, -3087.300375914765, -3465.2098239037746
38, 22800, 38, -3210.340200783062, -3458.5027285584924
39, 23400, 39, -3181.2072958686567, -3451.392589258753
40, 24000, 40, -3157.8515034279885, -3444.054062112984
41, 24600, 41, -4187.767568027525, -3462.193415915777
42, 25200, 42, -5048.4204185130375, -3499.960725501426
43, 25800, 43, -4897.036811432164, -3532.450867034699
44, 26400, 44, -4603.293099729289, -3556.788190505031
45, 27000, 45, -2911.5058603227853, -3542.448583167648
46, 27600, 46, -2792.2363025754885, -3526.1396205460787
47, 28200, 47, -3174.641057618162, -3518.6609277178254
48, 28800, 48, -3190.0969863105406, -3511.8158456051738
49, 29400, 49, -2980.230959739569, -3500.9671744650595
50, 30000, 50, -4183.753876030241, -3514.622908496363
51, 30600, 51, -3288.468997120437, -3510.1885180772274
52, 31200, 52, -4989.819094584598, -3538.6429522408307
53, 31800, 53, -3273.7229809356672, -3533.6444622162053
54, 32400, 54, -4622.863661057634, -3553.815188120676
55, 33000, 55, -4877.281450040347, -3577.8782110646703
56, 33600, 56, -3338.526313984168, -3573.604070045375
57, 34200, 57, -2912.9956095151465, -3562.0144479308096
58, 34800, 58, -2986.7196547143935, -3552.095572185699
59, 35400, 59, -4007.5250260938524, -3559.814715472278
60, 36000, 60, -3536.8155177275266, -3559.431395509865
61, 36600, 61, -3442.3014875182894, -3557.511233083774
62, 37200, 62, -2632.5255308256455, -3542.5921088538043
63, 37800, 63, -3935.3499897414995, -3548.8263609313867
64, 38400, 64, -3511.75650759693, -3548.247144473036
65, 39000, 65, -4015.536503114378, -3555.436211529057
66, 39600, 66, -3142.504308675167, -3549.1796675464216
67, 40200, 67, -3588.909703278559, -3549.7726531543644
68, 40800, 68, -3424.2586353532593, -3547.926858774936
69, 41400, 69, -5192.384633615158, -3571.759580149432
70, 42000, 70, -4810.928237739013, -3589.461989543569
71, 42600, 71, -3229.2782754585446, -3584.388979486034
72, 43200, 72, -3134.677796409396, -3578.1429908321916
73, 43800, 73, -3545.706853020482, -3577.6986601772364
74, 44400, 74, -3083.886613446047, -3571.0255244105983
75, 45000, 75, -4210.87665545217, -3579.556872824486
76, 45600, 76, -3284.2668526121893, -3575.6714778216933
77, 46200, 77, -3018.220251262426, -3568.4318515027417
78, 46800, 78, -3104.2400767693243, -3562.480674903595
79, 47400, 79, -4242.404368881407, -3571.087303941289
80, 48000, 80, -2992.3852113219646, -3563.853527783547
81, 48600, 81, -3586.7398344013072, -3564.136074778828
82, 49200, 82, -3176.0234809217563, -3559.4029943659366
83, 49800, 83, -3384.8461150356325, -3557.2998994342465
84, 50400, 84, -2941.3929992420544, -3549.9676744319586
85, 51000, 85, -4625.1795189500845, -3562.617225543937
86, 51600, 86, -3311.1963136047175, -3559.6937265678994
87, 52200, 87, -3015.343879365899, -3553.436831772474
88, 52800, 88, -3802.2907866534183, -3556.2647176233945
89, 53400, 89, -2659.0548645304098, -3546.1837080380797
90, 54000, 90, -2759.1951737829336, -3537.4393909908003
91, 54600, 91, -2714.4974497622698, -3528.396072955322
92, 55200, 92, -2789.109366557495, -3520.3603478857804
93, 55800, 93, -4071.5074964028718, -3526.2866613106953
94, 56400, 94, -3497.3172270547293, -3525.9784758398873
95, 57000, 95, -2854.489591211914, -3518.9101717911717
96, 57600, 96, -3975.1207595134997, -3523.6623654132786
97, 58200, 97, -3290.4608344882577, -3521.2582259192063
98, 58800, 98, -2725.4663440018408, -3513.137900593519
99, 59400, 99, -2844.061743321041, -3506.379555570564
100, 60000, 100, -3406.7996308183074, -3505.383756323042
101, 60600, 101, -2830.7746802850925, -3506.675943804501
102, 61200, 102, -3121.965810916109, -3508.551596503393
103, 61800, 103, -2910.9736000690123, -3486.5849089388
104, 62400, 104, -2903.42571259349, -3480.511561401953
105, 63000, 105, -2720.1361414956955, -3470.8851738119665
106, 63600, 106, -2546.3768713770864, -3458.161712032347
107, 64200, 107, -2732.2794313849536, -3448.94656092614
108, 64800, 108, -2453.210943225981, -3436.9604600790412
109, 65400, 109, -3051.6699756305593, -3432.6542772933667
110, 66000, 110, -2511.77637835191, -3412.538869214516
111, 66600, 111, -2867.514798876023, -3410.9829340533165
112, 67200, 112, -2700.072766622484, -3397.2176113595815
113, 67800, 113, -3898.233377758475, -3399.2212187848277
114, 68400, 114, -3263.675633050277, -3384.4109083811404
115, 69000, 115, -3809.3489176130524, -3389.023163363306
116, 69600, 116, -2759.550763151297, -3377.8094143986523
117, 70200, 117, -2781.641157809801, -3372.0982445662667
118, 70800, 118, -3646.1202606718475, -3379.273210876874
119, 71400, 119, -2757.5223203590463, -3376.909705212382
120, 72000, 120, -2701.5960266706334, -3373.534204105024
121, 72600, 121, -2258.9530562431337, -3364.496272210254
122, 73200, 122, -2584.1951548651223, -3357.581317860581
123, 73800, 123, -2016.710594109917, -3339.08800415023
124, 74400, 124, -2129.9269405249765, -3327.624978327641
125, 75000, 125, -2607.2827165518897, -3322.6515755369
126, 75600, 126, -2023.1709135577084, -3308.1717837321025
