[2025-09-12 18:35] Env='simple_spread_v3', num_actor=2, Record=last50

Ep, Total_reward, Ep_Length, Actor_Loss, Critic_Loss, Avg_Entropy
50: -45.530, 25.000, 8.608, 0.918, 1.601
100: -39.877, 25.000, 5.270, 1.341, 1.600
150: -40.886, 25.000, 0.207, 6.259, 1.599
200: -41.550, 25.000, -3.535, 12.264, 1.598
250: -40.932, 25.000, -3.584, 11.710, 1.598
300: -39.307, 25.000, -4.441, 12.513, 1.598
350: -40.631, 25.000, -3.783, 11.268, 1.596
400: -40.790, 25.000, -3.557, 11.390, 1.597
450: -40.601, 25.000, -3.951, 11.789, 1.595
500: -39.567, 25.000, -3.969, 11.556, 1.596
Model saved at episode 500
550: -42.396, 25.000, -3.729, 11.631, 1.595
600: -42.834, 25.000, -3.725, 10.697, 1.596
650: -38.439, 25.000, -5.053, 12.204, 1.597
700: -43.139, 25.000, -3.600, 11.785, 1.597
750: -42.621, 25.000, -4.289, 12.759, 1.595
800: -42.637, 25.000, -4.303, 12.197, 1.591
850: -41.131, 25.000, -4.299, 11.266, 1.591
900: -38.611, 25.000, -3.900, 10.078, 1.589
950: -35.488, 25.000, -3.129, 8.030, 1.590
1000: -42.213, 25.000, -3.215, 9.899, 1.584
Model saved at episode 1000
1050: -39.437, 25.000, -4.163, 10.872, 1.586
1100: -41.148, 25.000, -3.702, 10.662, 1.589
1150: -38.592, 25.000, -3.991, 9.928, 1.592
1200: -39.594, 25.000, -3.841, 8.837, 1.585
1250: -39.368, 25.000, -3.520, 8.463, 1.586
1300: -39.272, 25.000, -3.562, 8.880, 1.576
1350: -40.342, 25.000, -3.359, 8.918, 1.583
1400: -40.230, 25.000, -3.685, 9.210, 1.580
1450: -38.898, 25.000, -3.145, 7.341, 1.575
1500: -37.961, 25.000, -3.941, 7.460, 1.574
Model saved at episode 1500
1550: -41.020, 25.000, -3.023, 8.138, 1.569
1600: -39.219, 25.000, -3.183, 8.057, 1.568
1650: -39.983, 25.000, -3.200, 8.433, 1.573
1700: -38.534, 25.000, -3.489, 7.861, 1.569
1750: -35.938, 25.000, -3.112, 6.647, 1.568
1800: -37.426, 25.000, -2.730, 6.435, 1.565
1850: -38.472, 25.000, -2.959, 7.453, 1.562
1900: -36.310, 25.000, -3.880, 8.060, 1.563
1950: -38.296, 25.000, -3.285, 7.099, 1.557
2000: -38.434, 25.000, -3.342, 6.901, 1.558
Model saved at episode 2000
2050: -41.950, 25.000, -2.595, 7.237, 1.553
2100: -38.148, 25.000, -3.524, 6.795, 1.558
2150: -36.793, 25.000, -3.516, 7.121, 1.549
2200: -35.427, 25.000, -2.795, 5.477, 1.548
2250: -37.238, 25.000, -2.335, 5.716, 1.542
2300: -36.993, 25.000, -3.004, 6.851, 1.539
2350: -36.235, 25.000, -2.929, 5.453, 1.542
2400: -37.249, 25.000, -2.586, 6.590, 1.541
2450: -37.058, 25.000, -2.963, 7.040, 1.537
2500: -36.016, 25.000, -2.910, 5.248, 1.541
Model saved at episode 2500
2550: -35.189, 25.000, -2.065, 3.756, 1.538
2600: -35.495, 25.000, -2.118, 4.479, 1.531
2650: -35.020, 25.000, -2.209, 3.751, 1.530
2700: -35.022, 25.000, -1.908, 5.381, 1.509
2750: -38.525, 25.000, -2.102, 4.343, 1.494
2800: -34.575, 25.000, -2.522, 3.939, 1.498
2850: -37.291, 25.000, -1.318, 3.984, 1.495
2900: -34.206, 25.000, -1.215, 3.236, 1.495
2950: -37.811, 25.000, -1.759, 3.938, 1.501
3000: -33.544, 25.000, -1.652, 3.304, 1.500
Model saved at episode 3000
3050: -33.150, 25.000, -1.368, 3.244, 1.517
3100: -33.611, 25.000, -1.912, 3.791, 1.516
3150: -35.414, 25.000, -1.851, 3.245, 1.505
3200: -31.822, 25.000, -1.881, 2.512, 1.491
3250: -34.017, 25.000, -0.590, 2.085, 1.477
3300: -33.888, 25.000, -2.006, 4.045, 1.455
3350: -35.974, 25.000, -1.317, 3.133, 1.476
3400: -33.391, 25.000, -1.612, 2.917, 1.476
3450: -37.772, 25.000, -1.187, 4.059, 1.470
3500: -32.609, 25.000, -1.828, 3.213, 1.472
Model saved at episode 3500
3550: -36.142, 25.000, -1.735, 2.956, 1.465
3600: -34.002, 25.000, -0.885, 2.602, 1.453
3650: -34.665, 25.000, -1.655, 3.444, 1.451
3700: -34.130, 25.000, -1.605, 3.280, 1.465
3750: -34.105, 25.000, -2.089, 3.302, 1.438
3800: -33.030, 25.000, -0.866, 2.350, 1.457
3850: -33.414, 25.000, -1.397, 3.532, 1.452
3900: -33.484, 25.000, -1.881, 3.727, 1.452
3950: -33.054, 25.000, -1.843, 2.573, 1.441
4000: -34.320, 25.000, -0.998, 2.409, 1.413
Model saved at episode 4000
4050: -33.547, 25.000, -1.408, 2.603, 1.428
4100: -33.933, 25.000, -1.289, 3.236, 1.436
4150: -33.394, 25.000, -1.355, 3.398, 1.422
4200: -32.266, 25.000, -2.018, 3.678, 1.431
4250: -32.672, 25.000, -1.763, 2.642, 1.406
4300: -32.829, 25.000, -0.693, 1.995, 1.423
4350: -33.358, 25.000, -1.212, 3.043, 1.393
4400: -34.364, 25.000, -1.490, 3.778, 1.383
4450: -33.544, 25.000, -1.677, 3.335, 1.397
4500: -33.469, 25.000, -1.034, 2.358, 1.365
Model saved at episode 4500
4550: -36.267, 25.000, -1.490, 3.336, 1.358
4600: -34.489, 25.000, -1.592, 3.521, 1.373
4650: -34.960, 25.000, -1.002, 2.375, 1.394
4700: -32.872, 25.000, -1.544, 2.743, 1.374
4750: -34.429, 25.000, -1.017, 2.528, 1.365
4800: -33.791, 25.000, -1.143, 2.462, 1.360
4850: -31.197, 25.000, -1.914, 3.054, 1.391
4900: -33.139, 25.000, -1.892, 2.990, 1.375
4950: -32.946, 25.000, -0.835, 2.068, 1.379
5000: -33.027, 25.000, -1.439, 2.269, 1.331
Model saved at episode 5000
5050: -32.845, 25.000, -0.822, 2.440, 1.335
5100: -32.083, 25.000, -1.458, 3.292, 1.367
5150: -32.297, 25.000, -1.544, 3.000, 1.366
5200: -34.849, 25.000, -1.183, 2.595, 1.377
5250: -31.320, 25.000, -1.762, 2.592, 1.366
5300: -32.923, 25.000, -1.109, 2.342, 1.363
5350: -31.405, 25.000, -1.333, 2.579, 1.367
5400: -31.867, 25.000, -1.475, 2.540, 1.383
5450: -32.116, 25.000, -1.603, 2.611, 1.362
5500: -30.413, 25.000, -1.121, 2.340, 1.359
Model saved at episode 5500
5550: -32.224, 25.000, -1.183, 2.548, 1.353
5600: -31.603, 25.000, -1.433, 2.385, 1.336
5650: -33.922, 25.000, -1.323, 2.651, 1.341
5700: -30.931, 25.000, -1.884, 2.735, 1.315
5750: -30.681, 25.000, -1.559, 2.439, 1.325
5800: -29.051, 25.000, -1.130, 2.257, 1.308
5850: -32.643, 25.000, -1.142, 2.213, 1.330
5900: -30.580, 25.000, -0.688, 1.704, 1.335
5950: -29.837, 25.000, -1.303, 2.110, 1.318
6000: -31.698, 25.000, -0.802, 2.205, 1.342
Model saved at episode 6000
6050: -32.088, 25.000, -1.526, 2.444, 1.323
6100: -29.102, 25.000, -0.979, 1.626, 1.341
6150: -30.145, 25.000, -0.926, 2.216, 1.358
6200: -29.256, 25.000, -1.202, 2.278, 1.356
6250: -30.738, 25.000, -1.601, 2.072, 1.270
6300: -28.858, 25.000, -0.798, 1.737, 1.323
6350: -30.236, 25.000, -1.347, 2.612, 1.320
6400: -30.851, 25.000, -1.254, 2.065, 1.328
6450: -30.101, 25.000, -1.001, 2.204, 1.314
6500: -30.318, 25.000, -1.140, 2.531, 1.339
Model saved at episode 6500
6550: -30.604, 25.000, -1.832, 2.646, 1.284
6600: -29.916, 25.000, -1.171, 2.226, 1.327
6650: -28.774, 25.000, -1.320, 1.891, 1.288
6700: -27.602, 25.000, -0.760, 1.576, 1.308
6750: -30.068, 25.000, -0.826, 1.795, 1.285
6800: -28.974, 25.000, -1.255, 2.204, 1.294
6850: -29.293, 25.000, -1.098, 1.625, 1.269
6900: -30.019, 25.000, -0.817, 1.642, 1.261
6950: -30.891, 25.000, -0.978, 2.000, 1.241
7000: -29.986, 25.000, -1.379, 2.207, 1.256
Model saved at episode 7000
7050: -30.864, 25.000, -0.710, 1.642, 1.231
7100: -29.989, 25.000, -0.616, 1.814, 1.246
7150: -29.861, 25.000, -1.053, 2.148, 1.263
7200: -29.024, 25.000, -1.114, 1.653, 1.235
7250: -28.687, 25.000, -0.722, 1.463, 1.243
7300: -30.037, 25.000, -1.218, 1.786, 1.216
7350: -32.070, 25.000, -0.453, 2.008, 1.217
7400: -30.620, 25.000, -0.821, 1.740, 1.235
7450: -29.316, 25.000, -0.921, 1.490, 1.224
7500: -27.864, 25.000, -0.790, 1.575, 1.260
Model saved at episode 7500
7550: -28.983, 25.000, -1.145, 1.915, 1.261
7600: -29.894, 25.000, -0.480, 1.310, 1.232
7650: -28.263, 25.000, -1.101, 1.686, 1.258
7700: -31.135, 25.000, -0.657, 1.699, 1.245
7750: -28.788, 25.000, -0.616, 1.424, 1.217
7800: -29.219, 25.000, -0.294, 1.081, 1.231
7850: -28.683, 25.000, -0.881, 1.432, 1.248
7900: -29.797, 25.000, -0.841, 1.419, 1.210
7950: -31.220, 25.000, 0.022, 0.979, 1.223
8000: -29.264, 25.000, -0.946, 1.575, 1.262
Model saved at episode 8000
8050: -29.302, 25.000, -0.868, 1.583, 1.255
8100: -30.473, 25.000, -0.561, 1.398, 1.181
8150: -28.683, 25.000, -0.604, 1.292, 1.186
8200: -31.652, 25.000, -1.197, 1.976, 1.196
8250: -27.576, 25.000, -0.666, 1.237, 1.236
8300: -29.675, 25.000, -1.038, 1.977, 1.242
8350: -29.696, 25.000, -0.707, 1.575, 1.231
8400: -28.680, 25.000, -0.920, 1.570, 1.242
8450: -31.073, 25.000, -0.473, 1.325, 1.217
8500: -31.269, 25.000, -0.713, 1.597, 1.218
Model saved at episode 8500
8550: -28.531, 25.000, -1.048, 1.264, 1.202
8600: -29.219, 25.000, -0.720, 1.280, 1.205
8650: -29.651, 25.000, -0.527, 1.287, 1.183
8700: -29.223, 25.000, -0.693, 1.384, 1.218
8750: -31.331, 25.000, -0.583, 1.436, 1.200
8800: -30.916, 25.000, -0.835, 1.679, 1.205
8850: -30.165, 25.000, -0.519, 1.304, 1.197
8900: -27.599, 25.000, -0.824, 1.192, 1.223
8950: -28.159, 25.000, -0.667, 1.239, 1.196
9000: -27.509, 25.000, -0.898, 1.552, 1.190
Model saved at episode 9000
9050: -28.697, 25.000, -0.831, 1.437, 1.168
9100: -30.438, 25.000, -0.934, 1.601, 1.167
9150: -28.595, 25.000, -0.902, 1.593, 1.149
9200: -30.980, 25.000, -0.396, 1.447, 1.133
9250: -27.050, 25.000, -0.871, 1.060, 1.153
9300: -27.317, 25.000, -0.526, 1.188, 1.132
9350: -27.982, 25.000, -0.772, 1.225, 1.138
9400: -27.397, 25.000, -0.639, 1.175, 1.153
9450: -28.518, 25.000, -0.741, 1.235, 1.116
9500: -31.101, 25.000, -0.946, 2.030, 1.134
Model saved at episode 9500
9550: -28.784, 25.000, -0.814, 1.494, 1.112
9600: -28.683, 25.000, -0.753, 1.323, 1.136
9650: -28.572, 25.000, -1.151, 1.529, 1.136
9700: -28.505, 25.000, -0.323, 1.246, 1.155
9750: -28.410, 25.000, -0.851, 1.442, 1.142
9800: -27.329, 25.000, -0.756, 1.144, 1.153
9850: -28.538, 25.000, -0.485, 1.047, 1.123
9900: -28.067, 25.000, -0.669, 1.300, 1.128
9950: -29.204, 25.000, -1.377, 2.084, 1.130
10000: -28.390, 25.000, -0.660, 1.174, 1.130
Model saved at episode 10000
10050: -28.050, 25.000, -0.490, 1.140, 1.083
10100: -26.023, 25.000, -1.013, 1.121, 1.144
10150: -29.053, 25.000, -0.344, 1.276, 1.143
10200: -29.665, 25.000, -1.049, 2.272, 1.148
10250: -28.706, 25.000, -0.943, 1.925, 1.159
10300: -28.779, 25.000, -0.451, 1.236, 1.169
10350: -28.706, 25.000, -1.099, 1.763, 1.170
10400: -29.644, 25.000, -1.049, 1.685, 1.172
10450: -28.929, 25.000, -0.515, 1.179, 1.154
10500: -26.821, 25.000, -0.518, 0.873, 1.149
Model saved at episode 10500
10550: -28.187, 25.000, -0.743, 1.723, 1.164
10600: -28.912, 25.000, -0.927, 1.989, 1.149
10650: -30.563, 25.000, -1.018, 1.769, 1.140
10700: -30.064, 25.000, -0.531, 1.232, 1.170
10750: -29.160, 25.000, -0.734, 1.500, 1.200
10800: -30.767, 25.000, -1.045, 1.908, 1.202
10850: -29.515, 25.000, -0.790, 1.853, 1.187
10900: -27.058, 25.000, -1.127, 1.865, 1.211
10950: -27.543, 25.000, -0.914, 1.630, 1.218
11000: -25.516, 25.000, -0.890, 1.229, 1.231
Model saved at episode 11000
11050: -25.925, 25.000, -0.615, 1.234, 1.205
11100: -29.942, 25.000, -0.663, 1.546, 1.177
11150: -29.071, 25.000, -1.121, 1.635, 1.189
