[2025-12-01 16:17]
Episode, Timestep, Update, Avg_reward
43: 4096, 2, -141.422 
85: 8192, 4, -221.847 
126: 12288, 6, -162.074 
161: 16384, 8, -122.303 
185: 20480, 10, -218.156 
212: 24576, 12, -129.753 
237: 28672, 14, -71.297 
246: 32768, 16, -44.754 
252: 36864, 18, -57.751 
266: 40960, 20, -251.906 
277: 45056, 22, -122.447 
282: 49152, 24, -30.251 
289: 53248, 26, 1.278 
295: 57344, 28, -38.471 
302: 61440, 30, -6.117 
307: 65536, 32, 36.117 
311: 69632, 34, 46.014 
316: 73728, 36, 46.223 
321: 77824, 38, 37.489 
327: 81920, 40, 44.996 
333: 86016, 42, 64.146 
340: 90112, 44, 78.382 
349: 94208, 46, 43.356 
355: 98304, 48, -18.729 
361: 102400, 50, -2.257 
368: 106496, 52, 52.652 
376: 110592, 54, 93.724 
383: 114688, 56, 100.191 
392: 118784, 58, 89.408 
399: 122880, 60, 150.562 
407: 126976, 62, 52.437 
417: 131072, 64, 187.845 
425: 135168, 66, 179.254 
434: 139264, 68, 159.374 
445: 143360, 70, 129.927 
454: 147456, 72, 120.686 
465: 151552, 74, 139.824 
475: 155648, 76, 231.959 
488: 159744, 78, 151.557 
500: 163840, 80, 126.031 
511: 167936, 82, 123.976 
523: 172032, 84, 102.866 
534: 176128, 86, 172.745 
545: 180224, 88, 137.258 
556: 184320, 90, 228.143 
565: 188416, 92, 166.707 
575: 192512, 94, 148.575 
588: 196608, 96, 217.188 
597: 200704, 98, 117.627 
608: 204800, 100, 195.125 
617: 208896, 102, 182.196 
627: 212992, 104, 189.926 
638: 217088, 106, 146.111 
649: 221184, 108, 204.735 
661: 225280, 110, 140.728 
673: 229376, 112, 238.690 
686: 233472, 114, 157.992 
697: 237568, 116, 229.112 
708: 241664, 118, 208.386 
721: 245760, 120, 220.396 
734: 249856, 122, 196.870 
745: 253952, 124, 225.798 
758: 258048, 126, 210.018 
771: 262144, 128, 255.937 
784: 266240, 130, 158.126 
797: 270336, 132, 201.614 
811: 274432, 134, 170.122 
825: 278528, 136, 157.810 
838: 282624, 138, 212.932 
850: 286720, 140, 168.218 
862: 290816, 142, 180.661 
874: 294912, 144, 226.093 
887: 299008, 146, 199.572 
900: 303104, 148, 253.666 
914: 307200, 150, 224.656 
927: 311296, 152, 196.562 
939: 315392, 154, 226.504 
952: 319488, 156, 224.122 
965: 323584, 158, 185.317 
978: 327680, 160, 218.964 
990: 331776, 162, 205.819 
1002: 335872, 164, 215.182 
1012: 339968, 166, 231.994 
1023: 344064, 168, 208.764 
1037: 348160, 170, 224.953 
1048: 352256, 172, 217.239 
1062: 356352, 174, 221.626 
1078: 360448, 176, 251.787 
1092: 364544, 178, 217.419 
1105: 368640, 180, 248.063 
1117: 372736, 182, 181.728 
1133: 376832, 184, 211.770 
1143: 380928, 186, 257.253 
1154: 385024, 188, 252.562 
1166: 389120, 190, 237.855 
1181: 393216, 192, 238.665 
1195: 397312, 194, 229.577 
1206: 401408, 196, 246.225 
1220: 405504, 198, 262.115 
1235: 409600, 200, 266.735 
1250: 413696, 202, 254.824 
1260: 417792, 204, 248.056 
1272: 421888, 206, 257.960 
1285: 425984, 208, 276.249 
1299: 430080, 210, 221.930 
1317: 434176, 212, 247.137 
1334: 438272, 214, 270.714 
1351: 442368, 216, 269.719 
1367: 446464, 218, 271.519 
1378: 450560, 220, 263.852 
1395: 454656, 222, 241.821 
1413: 458752, 224, 253.859 
1427: 462848, 226, 269.622 
1443: 466944, 228, 270.964 
1461: 471040, 230, 246.610 
1479: 475136, 232, 236.353 
1498: 479232, 234, 275.451 
1515: 483328, 236, 241.581 
1534: 487424, 238, 279.653 
1553: 491520, 240, 273.198 
1573: 495616, 242, 282.201 
1590: 499712, 244, 280.240 
1608: 503808, 246, 282.743 
1627: 507904, 248, 278.035 
1646: 512000, 250, 283.339 
1666: 516096, 252, 274.410 
1686: 520192, 254, 258.031 
1702: 524288, 256, 283.467 
1717: 528384, 258, 283.285 
1736: 532480, 260, 275.523 
1753: 536576, 262, 267.403 
1773: 540672, 264, 281.083 
1792: 544768, 266, 277.559 
1809: 548864, 268, 258.937 
1829: 552960, 270, 286.214 
1847: 557056, 272, 283.183 
1859: 561152, 274, 257.391 
1875: 565248, 276, 264.067 
1893: 569344, 278, 278.936 
1914: 573440, 280, 277.901 
1929: 577536, 282, 272.246 
1946: 581632, 284, 282.378 
1965: 585728, 286, 279.894 
1977: 589824, 288, 242.400 
1997: 593920, 290, 248.107 
2013: 598016, 292, 258.234 
2034: 602112, 294, 290.855 
2053: 606208, 296, 281.242 
2069: 610304, 298, 279.520 
2087: 614400, 300, 286.655 
2107: 618496, 302, 240.101 
2122: 622592, 304, 251.969 
2141: 626688, 306, 287.468 
2161: 630784, 308, 280.568 
2181: 634880, 310, 289.514 
2201: 638976, 312, 282.016 
2221: 643072, 314, 287.412 
2237: 647168, 316, 249.450 
2253: 651264, 318, 282.200 
2272: 655360, 320, 232.332 
2290: 659456, 322, 280.030 
2307: 663552, 324, 201.630 
2323: 667648, 326, 268.714 
2343: 671744, 328, 283.257 
2352: 675840, 330, 267.030 
2368: 679936, 332, 278.285 
2387: 684032, 334, 269.624 
2406: 688128, 336, 284.071 
2425: 692224, 338, 290.050 
2443: 696320, 340, 275.443 
2462: 700416, 342, 278.300 
2479: 704512, 344, 273.226 
2498: 708608, 346, 272.217 
2513: 712704, 348, 258.139 
2533: 716800, 350, 289.397 
2554: 720896, 352, 277.674 
2567: 724992, 354, 250.006 
2589: 729088, 356, 257.444 
2606: 733184, 358, 212.493 
2622: 737280, 360, 265.972 
2635: 741376, 362, 218.522 
2656: 745472, 364, 232.921 
2673: 749568, 366, 291.722 
2694: 753664, 368, 266.082 
2707: 757760, 370, 199.981 
2727: 761856, 372, 276.745 
2745: 765952, 374, 255.884 
2760: 770048, 376, 252.319 
2777: 774144, 378, 282.533 
2795: 778240, 380, 279.995 
2813: 782336, 382, 269.800 
2831: 786432, 384, 226.260 
2849: 790528, 386, 253.491 
2866: 794624, 388, 273.806 
2879: 798720, 390, 256.734 
