[2025-09-21 18:34] Env=Pendulum-v1
Ep, Timestep, Update, Avg_return, Actor_loss, Entropy, Critic_loss
331: 132800, 83, -767.728, 
333: 133600, 83, -768.563, 
335: 134400, 84, -980.522, 
337: 135200, 84, -1388.450, 
339: 136000, 85, -1236.791, 
341: 136800, 85, -1228.399, 
343: 137600, 86, -1217.986, 
345: 138400, 86, -1028.569, 
347: 139200, 87, -633.110, 
349: 140000, 87, -632.673, 
351: 140800, 88, -395.913, 
353: 141600, 88, -178.256, 
355: 142400, 89, -207.811, 
357: 143200, 89, -233.338, 
359: 144000, 90, -256.153, 
361: 144800, 90, -339.987, 
363: 145600, 91, -376.252, 
365: 146400, 91, -319.878, 
367: 147200, 92, -293.960, 
369: 148000, 92, -246.961, 
371: 148800, 93, -188.169, 
373: 149600, 93, -177.428, 
375: 150400, 94, -376.132, 
377: 151200, 94, -375.920, 
379: 152000, 95, -549.740, 
381: 152800, 95, -715.172, 
383: 153600, 96, -728.850, 
385: 154400, 96, -687.257, 
387: 155200, 97, -929.897, 
389: 156000, 97, -962.325, 
391: 156800, 98, -1245.644, 
393: 157600, 98, -1231.423, 
395: 158400, 99, -1292.030, 
397: 159200, 99, -1310.479, 
399: 160000, 100, -1106.410, 
401: 160800, 100, -905.513, 
403: 161600, 101, -1413.473, 
405: 162400, 101, -1223.085, 
407: 163200, 102, -1508.940, 
409: 164000, 102, -1841.821, 
411: 164800, 103, -1881.176, 
413: 165600, 103, -1681.468, 
415: 166400, 104, -1931.888, 
417: 167200, 104, -1697.358, 
419: 168000, 105, -1349.913, 
421: 168800, 105, -1329.068, 
423: 169600, 106, -1278.124, 
425: 170400, 106, -1281.291, 
427: 171200, 107, -1249.973, 
429: 172000, 107, -1522.533, 
431: 172800, 108, -1549.443, 
433: 173600, 108, -1321.524, 
435: 174400, 109, -1116.218, 
437: 175200, 109, -1367.758, 
439: 176000, 110, -1150.509, 
441: 176800, 110, -1090.809, 
443: 177600, 111, -1302.407, 
445: 178400, 111, -1461.717, 
447: 179200, 112, -941.188, 
449: 180000, 112, -1378.019, 
451: 180800, 113, -1400.628, 
453: 181600, 113, -1408.506, 
455: 182400, 114, -1232.357, 
457: 183200, 114, -1268.020, 
459: 184000, 115, -1232.291, 
461: 184800, 115, -1186.209, 
463: 185600, 116, -938.009, 
465: 186400, 116, -1098.096, 
467: 187200, 117, -1051.638, 
469: 188000, 117, -629.282, 
471: 188800, 118, -663.945, 
473: 189600, 118, -663.492, 
475: 190400, 119, -432.918, 
477: 191200, 119, -702.938, 
479: 192000, 120, -1023.016, 
481: 192800, 120, -884.481, 
483: 193600, 121, -847.433, 
485: 194400, 121, -1014.301, 
487: 195200, 122, -746.499, 
489: 196000, 122, -461.806, 
491: 196800, 123, -458.865, 
493: 197600, 123, -575.318, 
