[2025-10-08 14:48] Env=Pendulum-v1
Ep, Timestep, Update, Avg_return
20: 4096, 2, -1349.111 
40: 8192, 4, -1051.865 
61: 12288, 6, -1188.886 
81: 16384, 8, -1093.081 
102: 20480, 10, -1257.894 
122: 24576, 12, -1333.054 
143: 28672, 14, -1111.377 
163: 32768, 16, -1151.132 
184: 36864, 18, -1128.658 
204: 40960, 20, -1068.682 
225: 45056, 22, -1219.277 
245: 49152, 24, -1008.238 
266: 53248, 26, -1103.386 
286: 57344, 28, -992.371 
307: 61440, 30, -1046.675 
327: 65536, 32, -1075.969 
348: 69632, 34, -1043.566 
368: 73728, 36, -1100.605 
389: 77824, 38, -1094.418 
409: 81920, 40, -1047.743 
430: 86016, 42, -1057.316 
450: 90112, 44, -907.892 
471: 94208, 46, -1060.317 
491: 98304, 48, -824.298 
511: 102400, 50, -909.349 
532: 106496, 52, -885.859 
552: 110592, 54, -788.288 
573: 114688, 56, -819.202 
593: 118784, 58, -623.370 
614: 122880, 60, -589.376 
634: 126976, 62, -332.966 
655: 131072, 64, -318.447 
675: 135168, 66, -598.231 
696: 139264, 68, -318.779 
716: 143360, 70, -294.425 
737: 147456, 72, -482.456 
757: 151552, 74, -356.528 
778: 155648, 76, -447.017 
798: 159744, 78, -486.393 
819: 163840, 80, -331.033 
839: 167936, 82, -275.713 
860: 172032, 84, -212.306 
880: 176128, 86, -411.760 
901: 180224, 88, -179.964 
921: 184320, 90, -303.960 
942: 188416, 92, -278.193 
962: 192512, 94, -211.367 
983: 196608, 96, -176.002 
1003: 200704, 98, -204.916 
1023: 204800, 100, -211.369 
1044: 208896, 102, -227.778 
1064: 212992, 104, -260.586 
1085: 217088, 106, -247.910 
1105: 221184, 108, -249.398 
1126: 225280, 110, -260.423 
1146: 229376, 112, -262.059 
1167: 233472, 114, -203.156 
1187: 237568, 116, -187.498 
1208: 241664, 118, -237.653 
1228: 245760, 120, -188.248 
1249: 249856, 122, -274.370 
1269: 253952, 124, -225.609 
1290: 258048, 126, -240.311 
1310: 262144, 128, -268.081 
1331: 266240, 130, -161.566 
1351: 270336, 132, -230.930 
1372: 274432, 134, -187.115 
1392: 278528, 136, -192.203 
1413: 282624, 138, -125.783 
1433: 286720, 140, -174.346 
1454: 290816, 142, -287.187 
1474: 294912, 144, -163.795 
1495: 299008, 146, -175.495 

Training time = 0:20:06
